#{"t_start": 1777220694.690239, "env_id": "None"}
r,l,t,success,contact_success,grasp_success,grasp_lift_success,place_success,first_grasp_step,grasp_transitions,max_height,min_dist_eef_obj
113.287323,700,81.549006,False,0.0,0.0,0.0,0.0,0,0,0.0020319159441496426,0.04681509086006703
114.932372,700,108.203646,False,1.0,1.0,0.0,0.0,76,2,0.0036772967156163405,0.03416262508121721
89.705691,700,153.914024,False,0.0,0.0,0.0,0.0,0,0,0.011970091976728492,0.06206887835204612
110.115183,700,189.338926,False,1.0,1.0,0.0,0.0,72,7,0.008517265995050427,0.038042394303775276
28.655174,700,225.407196,False,0.0,0.0,0.0,0.0,0,0,0.0029417176783423926,0.044771377368085126
43.911846,700,277.585163,False,1.0,1.0,0.0,0.0,164,1,0.001192135389393223,0.030535143782692585
106.628587,700,313.824103,False,1.0,1.0,0.0,0.0,359,5,0.0081670772630148,0.03219794802709808
122.410773,700,347.155124,False,0.0,0.0,0.0,0.0,0,0,0.00509867813753051,0.039344712811423564
113.174648,700,376.710083,False,0.0,0.0,0.0,0.0,0,0,0.01972326595811469,0.03612848395568305
116.144208,700,417.199103,False,1.0,1.0,0.0,0.0,255,10,0.001978315489935545,0.03674133167297396
130.91728,700,443.18362,False,0.0,0.0,0.0,0.0,0,0,0.009355197407188376,0.03628590148305914
114.238629,700,483.722618,False,1.0,1.0,0.0,0.0,93,1,0.007816467521923887,0.03852260037732753
137.37725,700,510.537113,False,0.0,0.0,0.0,0.0,0,0,0.0019424453005900677,0.03580908290849702
147.237455,700,566.88166,False,0.0,0.0,0.0,0.0,0,0,0.030919308197558393,0.0240461268728492
130.832,700,603.178221,False,0.0,0.0,0.0,0.0,0,0,0.002583291935746135,0.050463268874164934
86.398838,700,645.168408,False,1.0,1.0,0.0,0.0,106,2,0.008282509476775335,0.029112778770547066
78.435508,700,752.443884,False,1.0,1.0,0.0,0.0,75,7,0.0035360924112964875,0.03628887971443611
99.140734,700,786.186071,False,1.0,1.0,0.0,0.0,189,8,0.005949321673286656,0.030380598914625308
94.043187,700,817.776647,False,1.0,1.0,0.0,0.0,109,1,0.013922404662175203,0.041956673291322556
100.768432,420,835.111311,True,1.0,1.0,0.0,1.0,55,1,0.012178225686555244,0.03649448250502086
105.278043,700,867.648479,False,0.0,0.0,0.0,0.0,0,0,0.0021066830739132625,0.04725908164940775
53.547541,700,912.63743,False,0.0,0.0,0.0,0.0,0,0,0.04212577324500477,0.12061694925586189
79.853984,700,952.016607,False,0.0,0.0,0.0,0.0,0,0,0.004033265199668956,0.038811119441166636
43.305644,700,978.147945,False,1.0,1.0,0.0,0.0,73,2,0.0036251301472152164,0.03469540928829764
86.595417,700,1014.058566,False,0.0,0.0,0.0,0.0,0,0,0.0029545307211348293,0.04202380591215603
128.253051,700,1058.729534,False,1.0,1.0,0.0,0.0,58,7,0.015024970885199385,0.031598912049455134
404.146468,700,1088.936409,False,0.0,0.0,0.0,0.0,0,0,0.024853685437074002,0.04500608646370048
24.918909,700,1161.525825,False,0.0,0.0,0.0,0.0,0,0,0.004153792846619986,0.05011738476410286
125.942021,700,1228.152926,False,1.0,1.0,0.0,0.0,42,5,0.003947987473827186,0.035372405114046844
145.550486,700,1290.370186,False,1.0,1.0,0.0,0.0,61,6,0.016852761665702154,0.03419828656001746
138.682752,700,1321.775925,False,1.0,1.0,0.0,0.0,44,13,0.041695367657463955,0.03364644968472902
156.342468,700,1357.188299,False,1.0,1.0,0.0,0.0,159,7,0.0018883517585541743,0.03513704461287665
125.769718,700,1420.230561,False,1.0,1.0,0.0,0.0,70,7,0.009837060214441196,0.03555836706695586
84.077484,700,1501.878125,False,0.0,0.0,0.0,0.0,0,0,0.009935537785506265,0.048527925568843944
