#{"t_start": 1777125398.390947, "env_id": "None"}
r,l,t,success,contact_success,grasp_success,grasp_lift_success,place_success,first_grasp_step,grasp_transitions,max_height,min_dist_eef_obj
-23.762544,700,24.812697,False,0.0,0.0,0.0,0.0,0,0,6.622420942736795e-07,0.30893339635343087
-18.122743,700,46.691994,False,0.0,0.0,0.0,0.0,0,0,3.2509704439576126e-07,0.39402569389017056
-11.622509,700,73.667986,False,0.0,0.0,0.0,0.0,0,0,4.207226628194505e-07,0.49493539397430164
-17.404073,700,99.899729,False,0.0,0.0,0.0,0.0,0,0,4.713587514748596e-07,0.16597937735704646
-13.175617,700,138.943994,False,0.0,0.0,0.0,0.0,0,0,2.1245068493325192e-07,0.30487968100084295
-18.333453,700,161.414503,False,0.0,0.0,0.0,0.0,0,0,5.230400894618015e-07,0.32456292416528737
16.495089,700,191.189171,False,0.0,0.0,0.0,0.0,0,0,0.0029713806788751462,0.061799257124478896
27.851611,700,219.527189,False,0.0,0.0,0.0,0.0,0,0,6.301764303717761e-07,0.10234143641425329
-0.843566,700,258.610382,False,0.0,0.0,0.0,0.0,0,0,0.005148322257265803,0.16481023870306452
12.521399,700,283.933903,False,0.0,0.0,0.0,0.0,0,0,0.001468976805518718,0.08041606768007079
8.308932,700,318.797377,False,0.0,0.0,0.0,0.0,0,0,0.0019736814160691285,0.1884980118482236
6.445564,700,350.512601,False,0.0,0.0,0.0,0.0,0,0,6.40694060471958e-07,0.1379421935020686
1.718173,700,375.784901,False,0.0,0.0,0.0,0.0,0,0,0.0049651674527738665,0.08088375464633857
11.813176,700,411.259141,False,0.0,0.0,0.0,0.0,0,0,0.00028466930796822165,0.1201838394070301
5.943043,700,435.859761,False,0.0,0.0,0.0,0.0,0,0,7.813810881662775e-07,0.10885392873269728
27.155853,700,465.757677,False,0.0,0.0,0.0,0.0,0,0,0.0015595106636162592,0.10460197738414719
-10.71332,700,492.504319,False,0.0,0.0,0.0,0.0,0,0,0.003300249183949333,0.0984680006012911
-24.774747,700,515.363431,False,0.0,0.0,0.0,0.0,0,0,7.360931534305948e-07,0.1620533211661391
14.475876,700,546.993245,False,0.0,0.0,0.0,0.0,0,0,0.0014721121174596785,0.10608980107541201
-1.52786,700,576.483998,False,0.0,0.0,0.0,0.0,0,0,5.029826531943726e-07,0.12903806490875724
6.59902,700,613.659849,False,0.0,0.0,0.0,0.0,0,0,0.002204728790697219,0.06001560388296685
44.592019,700,647.032157,False,0.0,0.0,0.0,0.0,0,0,0.002213576658342431,0.04421643989029684
31.793184,700,675.267116,False,0.0,0.0,0.0,0.0,0,0,0.0030338270298548853,0.10543881579672837
54.203922,700,697.17036,False,0.0,0.0,0.0,0.0,0,0,0.003013364646114236,0.03875834541832663
18.655059,700,724.376559,False,0.0,0.0,0.0,0.0,0,0,6.328636457109127e-07,0.059797097379392705
-17.660066,700,749.591863,False,0.0,0.0,0.0,0.0,0,0,1.2479993847236415e-06,0.17855105965275636
21.431925,700,788.724997,False,0.0,0.0,0.0,0.0,0,0,0.002693576690143362,0.039747006754747564
48.466179,700,814.900804,False,0.0,0.0,0.0,0.0,0,0,0.0030147358543066716,0.04060332501768264
92.621947,700,848.146917,False,0.0,0.0,0.0,0.0,0,0,0.00190492764739425,0.03153184159184343
21.829584,700,872.290334,False,0.0,0.0,0.0,0.0,0,0,6.194074126941729e-07,0.0512646766591079
37.148486,700,896.172593,False,0.0,0.0,0.0,0.0,0,0,0.002413174352252745,0.04347278020281206
29.050393,700,942.561028,False,0.0,0.0,0.0,0.0,0,0,0.001586824589768887,0.057776801139302836
67.843714,700,995.260433,False,1.0,1.0,0.0,0.0,257,1,0.00299778513800375,0.037689235578111
61.6973,700,1017.894451,False,1.0,1.0,0.0,0.0,87,2,0.0030787669643822513,0.03450597112122621
43.887102,700,1038.206076,False,0.0,0.0,0.0,0.0,0,0,0.0015494418912460617,0.04092781107001709
68.093284,700,1069.807644,False,0.0,0.0,0.0,0.0,0,0,0.043535891268122295,0.018082793994624854
35.904834,700,1097.625204,False,0.0,0.0,0.0,0.0,0,0,0.011162116318412907,0.03593029152709754
66.876388,700,1120.863921,False,1.0,1.0,0.0,0.0,35,1,0.0029412200336949024,0.03698646927337942
-5.933137,700,1149.01424,False,0.0,0.0,0.0,0.0,0,0,0.0005983207339694818,0.04018748347445341
72.962595,700,1184.426329,False,0.0,0.0,0.0,0.0,0,0,0.002711172432464881,0.052981900808259715
87.225013,700,1216.325073,False,0.0,0.0,0.0,0.0,0,0,0.0032811138282269336,0.04513910868536576
35.854003,700,1247.623076,False,0.0,0.0,0.0,0.0,0,0,0.005233267566192912,0.008575360760342132
82.099454,700,1271.403406,False,0.0,0.0,0.0,0.0,0,0,0.013568284637129113,0.04029783725569553
51.217642,700,1292.605905,False,0.0,0.0,0.0,0.0,0,0,0.0027311996638178515,0.04387827887948223
83.973523,700,1314.601119,False,1.0,1.0,0.0,0.0,465,1,0.012039760279791811,0.02869135418363947
71.695325,700,1341.674096,False,1.0,1.0,0.0,0.0,308,2,0.0028271080411739202,0.03916372927418643
92.881721,700,1365.294048,False,0.0,0.0,0.0,0.0,0,0,0.017705594796783908,0.018177758175641906
100.850775,700,1395.349799,False,1.0,1.0,0.0,0.0,328,4,0.01205283470452645,0.02906328218645114
68.611242,700,1425.566477,False,0.0,0.0,0.0,0.0,0,0,9.635138117358721e-07,0.057503603311410766
23.696549,700,1469.640858,False,0.0,0.0,0.0,0.0,0,0,0.014026211244384301,0.03392432938100275
117.151428,700,1492.628988,False,1.0,1.0,0.0,0.0,240,1,0.0030276306575794942,0.03740287752193831
102.51741,700,1522.464227,False,1.0,1.0,0.0,0.0,313,1,0.017150011764225148,0.03723535773409737
62.415196,700,1547.653634,False,0.0,0.0,0.0,0.0,0,0,0.002792417589903007,0.04703541600114703
121.4489,700,1584.481659,False,0.0,0.0,0.0,0.0,0,0,0.00747943805403406,0.03672900622332931
76.955037,700,1614.786727,False,0.0,0.0,0.0,0.0,0,0,0.0016629683532001227,0.052634646379768786
155.954875,700,1645.639711,False,1.0,1.0,0.0,0.0,173,2,0.02187540492645168,0.004845002191873907
83.700436,700,1671.977833,False,0.0,0.0,0.0,0.0,0,0,0.002832947726274626,0.026763274505103064
151.883848,700,1700.195041,False,0.0,0.0,0.0,0.0,0,0,0.028931574385282044,0.03512288782153889
117.693321,700,1727.062899,False,0.0,0.0,0.0,0.0,0,0,0.05596501631592399,0.029257100338036676
118.218965,700,1753.137001,False,0.0,0.0,0.0,0.0,0,0,0.010002804732950121,0.036118208603905
93.74086,700,1782.964092,False,0.0,0.0,0.0,0.0,0,0,0.0073174567820907255,0.04355155006759919
143.706532,700,1806.549941,False,0.0,0.0,0.0,0.0,0,0,0.010072739888756344,0.018780388254954965
116.383938,700,1831.163859,False,0.0,0.0,0.0,0.0,0,0,0.0030581983941353474,0.03847464383699616
14.813125,700,1862.083477,False,0.0,0.0,0.0,0.0,0,0,0.004874332351391897,0.11803681266127229
168.657742,700,1903.306384,False,1.0,1.0,0.0,0.0,145,2,0.01069419524070725,0.017385596735392663
63.894382,700,1924.22984,False,1.0,1.0,0.0,0.0,43,4,0.03079170824187305,0.01009681492707594
85.79566,700,1988.513667,False,0.0,0.0,0.0,0.0,0,0,0.006681673463584059,0.027049317424550263
177.785875,700,2018.339679,False,0.0,0.0,0.0,0.0,0,0,0.007321568044900362,0.012603336588965494
133.187204,700,2046.301743,False,0.0,0.0,0.0,0.0,0,0,0.015063428749953145,0.02000393075412561
135.186418,700,2071.839629,False,1.0,1.0,0.0,0.0,91,2,0.009281722873884624,0.03597799109337401
138.124273,700,2105.161098,False,0.0,0.0,0.0,0.0,0,0,0.0741146928756723,0.030255896199872255
179.388856,700,2132.669865,False,1.0,1.0,0.0,0.0,31,1,0.009288651072308696,0.021223488780183344
167.465157,700,2159.636507,False,0.0,0.0,0.0,0.0,0,0,0.11551005158843042,0.0057021977543117415
104.596321,700,2184.98609,False,1.0,1.0,0.0,0.0,22,3,0.010306635074618153,0.027348406913844818
131.677213,700,2209.029585,False,1.0,1.0,0.0,0.0,87,1,0.011332231852042685,0.024620550502754298
117.835977,700,2248.816908,False,1.0,1.0,0.0,0.0,251,4,0.06428066501307794,0.022549934450013156
196.678594,700,2283.951799,False,1.0,1.0,0.0,0.0,304,2,0.005463332278142996,0.033022730755640266
188.849221,700,2310.817454,False,1.0,1.0,0.0,0.0,95,3,0.04963711133679949,0.003383259047500279
161.103871,700,2338.60208,False,0.0,0.0,0.0,0.0,0,0,0.011785204146732564,0.03608651003581625
47.688258,700,2372.997136,False,1.0,1.0,0.0,0.0,164,1,0.043490747246858086,0.010609832230118688
184.467817,700,2408.805789,False,1.0,1.0,0.0,0.0,121,1,0.016162942696801297,0.028038498372637576
156.505245,700,2442.460134,False,0.0,0.0,0.0,0.0,0,0,0.008352649053506966,0.034125423465427955
178.680034,700,2466.571456,False,1.0,1.0,0.0,0.0,180,2,0.030744381638460383,0.009851038392953534
198.4406,700,2502.329384,False,0.0,0.0,0.0,0.0,0,0,0.020909056940501602,0.006365070674393095
205.92532,700,2538.513585,False,0.0,0.0,0.0,0.0,0,0,0.020226642263210692,0.005470243680065405
160.577436,700,2565.178165,False,1.0,1.0,0.0,0.0,25,1,0.006914945755022828,0.03667708139144468
155.987776,700,2606.974917,False,1.0,1.0,1.0,0.0,129,5,0.05789483749413005,0.00858953501489395
192.970401,700,2634.730019,False,1.0,1.0,0.0,0.0,39,2,0.02391645965009981,0.020571938131530725
190.574976,700,2659.372359,False,1.0,1.0,0.0,0.0,250,1,0.015751824683603477,0.00959794766505551
136.623218,700,2685.556476,False,0.0,0.0,0.0,0.0,0,0,0.0011930096289873848,0.04636589255913101
214.614115,700,2712.771369,False,0.0,0.0,0.0,0.0,0,0,0.012044038976785076,0.013589986297674897
119.745852,700,2751.266821,False,1.0,1.0,0.0,0.0,228,2,0.043062032989898635,0.025407801918146025
223.327467,700,2773.653115,False,1.0,1.0,0.0,0.0,43,2,0.02821812859134154,0.003988921421998447
250.808044,700,2806.895864,False,1.0,1.0,1.0,0.0,43,1,0.10387589152094223,0.007669943828451271
192.992753,700,2836.232581,False,0.0,0.0,0.0,0.0,0,0,0.03686936926055451,0.007214498113319406
232.396239,700,2868.182545,False,0.0,0.0,0.0,0.0,0,0,0.05056682270110935,0.010900615656562697
169.336338,700,2892.731112,False,1.0,1.0,0.0,0.0,244,1,0.022689885347969563,0.031069053782288365
239.751237,700,2922.850919,False,0.0,0.0,0.0,0.0,0,0,0.01931422526855997,0.008236941049129929
158.366043,700,2963.115227,False,1.0,1.0,0.0,0.0,260,1,0.0940001375774937,0.026822438287952884
191.086246,700,2992.109852,False,1.0,1.0,0.0,0.0,106,4,0.05617278396209524,0.013227016568628187
215.786704,700,3027.738125,False,1.0,1.0,0.0,0.0,39,1,0.025943182483539107,0.014272089311813785
175.367617,700,3060.362531,False,1.0,1.0,0.0,0.0,696,1,0.0052971509833786845,0.029835571757820773
201.185753,700,3093.388847,False,1.0,1.0,0.0,0.0,514,1,0.0033450921269267964,0.03947211975399557
113.648158,700,3123.343412,False,0.0,0.0,0.0,0.0,0,0,0.007536403726035701,0.026539259069707204
246.68495,700,3162.353415,False,1.0,1.0,0.0,0.0,276,1,0.04404078090727426,0.008003982322952663
223.754292,700,3194.64627,False,1.0,1.0,1.0,0.0,104,6,0.1683177845868522,0.023475480405007805
185.277687,700,3217.060817,False,1.0,1.0,0.0,0.0,91,1,0.015845142665001144,0.021628228163113425
155.298431,700,3253.703663,False,0.0,0.0,0.0,0.0,0,0,0.0033891017094593856,0.03931560615469954
231.438376,700,3282.4319,False,1.0,1.0,0.0,0.0,330,3,0.025435647288337693,0.03358714436670551
40.157954,700,3311.023882,False,1.0,1.0,0.0,0.0,46,1,0.09604818011977723,0.017170917870963868
181.588792,700,3351.295659,False,1.0,1.0,1.0,0.0,353,1,0.5163239661714745,0.002983365758320566
93.594541,700,3382.335153,False,0.0,0.0,0.0,0.0,0,0,0.013533045463671733,0.02187924608661891
228.537116,700,3410.628723,False,1.0,1.0,1.0,0.0,43,2,0.05206181071185223,0.015460706889472278
195.96097,700,3441.692413,False,1.0,1.0,0.0,0.0,264,1,0.08447857524249625,0.010914613382582447
280.628849,700,3473.888459,False,1.0,1.0,0.0,0.0,43,1,0.03657133975916982,0.01373162778966451
201.364042,700,3500.52467,False,1.0,1.0,0.0,0.0,261,1,0.012726939936626658,0.02467267168558286
267.423483,700,3526.997071,False,1.0,1.0,0.0,0.0,82,5,0.039004158654919796,0.007757135850798803
262.713302,700,3588.083815,False,0.0,0.0,0.0,0.0,0,0,0.02339207313673397,0.016966221410170273
287.014417,700,3618.804773,False,1.0,1.0,0.0,0.0,28,2,0.02365377341740227,0.008578774591825222
226.321082,700,3649.91692,False,1.0,1.0,0.0,0.0,140,8,0.01669638176017929,0.029208041039845888
263.26444,700,3682.191361,False,1.0,1.0,0.0,0.0,59,5,0.009654274895780968,0.02744411271077361
245.560649,700,3703.862563,False,0.0,0.0,0.0,0.0,0,0,0.018845372399068805,0.005847118031340301
286.13574,700,3730.54692,False,1.0,1.0,1.0,0.0,45,5,0.1409301722030738,0.008194144394540281
253.390966,700,3763.803244,False,1.0,1.0,0.0,0.0,132,2,0.03047363617347898,0.02386762748510245
206.449046,700,3794.383597,False,0.0,0.0,0.0,0.0,0,0,0.049014932159136326,0.035196620627073974
277.546832,700,3828.194248,False,0.0,0.0,0.0,0.0,0,0,0.028915167301344247,0.015086323024152566
225.716354,700,3861.568474,False,0.0,0.0,0.0,0.0,0,0,0.0010282270466257515,0.0300318539532012
234.12659,700,3890.167324,False,0.0,0.0,0.0,0.0,0,0,0.008395492610443589,0.03512089487322786
277.486891,700,3931.69126,False,1.0,1.0,0.0,0.0,310,1,0.024109396841425546,0.013900465381333906
255.854208,700,3956.966769,False,1.0,1.0,0.0,0.0,65,1,0.026725205035729505,0.015979827852601155
312.508374,700,3987.49471,False,1.0,1.0,0.0,0.0,12,2,0.030571355756092933,0.007368848209599147
251.614831,700,4018.61483,False,0.0,0.0,0.0,0.0,0,0,0.03262733250421679,0.018255839319570595
325.492905,700,4042.012235,False,1.0,1.0,1.0,0.0,389,1,0.46164573764748607,0.0046313763094063395
281.717432,700,4077.841419,False,1.0,1.0,1.0,0.0,82,5,0.25049687675879384,0.0059294106552470706
271.486145,700,4114.497877,False,1.0,1.0,0.0,0.0,73,9,0.10795740810431342,0.00804154579827114
313.998679,700,4142.177126,False,1.0,1.0,1.0,0.0,198,4,0.13726435461255004,0.0074931959950323025
240.782262,700,4169.595973,False,0.0,0.0,0.0,0.0,0,0,0.0037435609342627574,0.03391256578052727
335.591302,700,4212.590616,False,1.0,1.0,1.0,0.0,62,1,0.17389330235925726,0.009120004174787654
256.034238,700,4259.53883,False,1.0,1.0,0.0,0.0,18,1,0.0313536525985143,0.005964336342521665
312.159366,700,4290.294511,False,0.0,0.0,0.0,0.0,0,0,0.025235311723114995,0.010365322614981062
206.181229,700,4320.521816,False,0.0,0.0,0.0,0.0,0,0,0.0025895930917592125,0.03391359712560191
270.471468,700,4345.475285,False,1.0,1.0,0.0,0.0,10,2,0.07570681990406958,0.022322863660593585
276.220655,700,4370.092551,False,0.0,0.0,0.0,0.0,0,0,0.05331762780853233,0.010057799823236638
247.858339,700,4404.96246,False,0.0,0.0,0.0,0.0,0,0,0.026734334880703314,0.01502453753218398
87.837642,700,4435.031786,False,0.0,0.0,0.0,0.0,0,0,0.011020214202830836,0.006391678865716041
214.518862,700,4464.251229,False,0.0,0.0,0.0,0.0,0,0,0.035505486592379176,0.029648314296139348
305.218378,700,4489.26321,False,1.0,1.0,0.0,0.0,17,1,0.0803098331795381,0.012015927061380452
154.969968,700,4523.630028,False,0.0,0.0,0.0,0.0,0,0,0.012019863872111403,0.011806281325339087
248.356558,700,4554.934401,False,1.0,1.0,0.0,0.0,250,2,0.016855336137932997,0.012946811330710864
293.779787,700,4593.344738,False,1.0,1.0,0.0,0.0,57,3,0.044170547881319466,0.02454950356418945
252.400267,700,4623.485444,False,0.0,0.0,0.0,0.0,0,0,0.01870257117550722,0.036555490612648414
295.153461,700,4656.241839,False,1.0,1.0,0.0,0.0,40,1,0.022093768256835844,0.012893406253778267
198.730623,700,4684.42501,False,1.0,1.0,1.0,0.0,46,5,0.15214039929137302,0.018884409467636653
340.727078,700,4719.572793,False,1.0,1.0,1.0,0.0,439,1,0.1162097284685295,0.02230879429633442
315.533848,700,4760.73183,False,0.0,0.0,0.0,0.0,0,0,0.011065141695110858,0.01596262273149432
141.705186,700,4789.901945,False,1.0,1.0,1.0,0.0,48,2,0.3423255666245124,0.013692982148758578
90.818848,700,4824.249029,False,1.0,1.0,1.0,0.0,130,1,0.08623834573810651,0.010090014448620472
60.62163,700,4859.87807,False,1.0,1.0,0.0,0.0,101,1,0.009215919159345054,0.01877980062515149
273.971236,700,4898.429022,False,1.0,1.0,0.0,0.0,427,1,0.023690970985878468,0.005675898018903392
334.277179,700,4935.01861,False,1.0,1.0,0.0,0.0,88,5,0.02507266947833431,0.0058356453186438565
144.718276,700,4959.776822,False,1.0,1.0,1.0,0.0,38,4,0.22870976102732987,0.021022438013888166
70.166714,700,4989.174946,False,0.0,0.0,0.0,0.0,0,0,0.011086903466797415,0.02849953020123225
293.37045,700,5015.071825,False,0.0,0.0,0.0,0.0,0,0,0.012754176056052002,0.04286789771609848
254.339489,700,5045.251755,False,0.0,0.0,0.0,0.0,0,0,0.018081736588168362,0.005187191844314113
94.224978,700,5068.98744,False,0.0,0.0,0.0,0.0,0,0,0.0026413274520969976,0.03989479283692587
225.518651,700,5092.77761,False,1.0,1.0,1.0,0.0,57,3,0.13278516859806289,0.011235217445610247
328.047642,700,5118.11174,False,0.0,0.0,0.0,0.0,0,0,0.021103864078888424,0.019373423406068933
357.35731,700,5146.671737,False,0.0,0.0,0.0,0.0,0,0,0.021337076891001172,0.009927723063818646
167.434577,700,5176.736966,False,0.0,0.0,0.0,0.0,0,0,0.026126608747313096,0.005905703209483964
302.871118,700,5206.42149,False,1.0,1.0,1.0,0.0,18,2,0.0630327633978559,0.031663641770737105
141.96929,700,5239.744847,False,1.0,1.0,0.0,0.0,80,3,0.015693093027611238,0.034320245298294
281.330828,700,5281.097613,False,0.0,0.0,0.0,0.0,0,0,0.0017808585164010848,0.033280158966824507
337.814333,700,5306.906458,False,1.0,1.0,0.0,0.0,258,1,0.039859792449847165,0.012958600299457453
271.202553,700,5342.031601,False,1.0,1.0,1.0,0.0,60,5,0.09561688225086873,0.010349120342382388
308.860377,700,5371.928234,False,1.0,1.0,1.0,0.0,28,1,0.2351202573740675,0.020373004709198925
119.216478,700,5400.584257,False,0.0,0.0,0.0,0.0,0,0,0.011827217615484775,0.004218626375331193
251.141561,700,5437.92412,False,1.0,1.0,1.0,0.0,34,1,0.10380786924999408,0.030939759049890988
362.120672,700,5463.565371,False,1.0,1.0,1.0,0.0,136,1,0.057618465567409016,0.02139512841659524
363.476788,700,5493.442033,False,1.0,1.0,0.0,0.0,387,4,0.11149248664166378,0.02202319982965433
406.080172,700,5513.914891,False,1.0,1.0,0.0,0.0,616,2,0.0929915414176612,0.004048112129128997
223.506298,700,5544.257271,False,1.0,1.0,0.0,0.0,79,3,0.009012193934258783,0.027557424834932075
320.949852,700,5578.10641,False,0.0,0.0,0.0,0.0,0,0,0.006977954882849691,0.010731584949024365
381.877337,700,5601.47508,False,1.0,1.0,0.0,0.0,103,2,0.06066888469726728,0.007506075978463492
336.90755,700,5632.006827,False,1.0,1.0,0.0,0.0,95,3,0.027680273005941447,0.009468788010476585
280.389787,700,5663.629231,False,0.0,0.0,0.0,0.0,0,0,0.006505918741073868,0.01966974197893957
359.320716,700,5697.470853,False,1.0,1.0,1.0,0.0,103,1,0.08037412114155262,0.02184098882276158
358.870942,700,5737.582936,False,1.0,1.0,1.0,0.0,82,8,0.10272145899763574,0.002268077638243445
293.560077,700,5773.671761,False,0.0,0.0,0.0,0.0,0,0,0.004289195062981088,0.007219591317635753
426.619046,700,5800.584007,False,1.0,1.0,0.0,0.0,78,4,0.07004085441759522,0.0028880873724636017
201.839066,700,5839.059116,False,1.0,1.0,0.0,0.0,117,5,0.04032095240443334,0.004137397053104675
228.429128,700,5869.253651,False,0.0,0.0,0.0,0.0,0,0,0.009767635171512912,0.020038607212554703
369.991438,700,5892.735544,False,0.0,0.0,0.0,0.0,0,0,0.023432253253866775,0.004599407211975586
355.43914,700,5926.48885,False,0.0,0.0,0.0,0.0,0,0,0.006957716229262334,0.026555514963826396
365.232384,700,5958.181262,False,1.0,1.0,0.0,0.0,137,2,0.025671804992879133,0.00795124396188893
318.310315,700,5994.918697,False,1.0,1.0,0.0,0.0,179,7,0.0060454998090209155,0.009758096575126558
104.868619,700,6026.333879,False,0.0,0.0,0.0,0.0,0,0,0.11871156724861076,0.012607368583568493
205.043231,700,6055.547056,False,0.0,0.0,0.0,0.0,0,0,0.015648013899076663,0.013938213328369843
372.090424,700,6085.969855,False,0.0,0.0,0.0,0.0,0,0,0.0824063484129598,0.009678218984214086
381.453427,700,6112.690076,False,0.0,0.0,0.0,0.0,0,0,0.01860042766711434,0.01004845666982622
141.379713,700,6137.552234,False,1.0,1.0,0.0,0.0,25,1,0.012845724898332467,0.02875199364709954
365.341177,700,6178.93848,False,1.0,1.0,0.0,0.0,85,3,0.021414911817253635,0.015426785431681703
