#{"t_start": 1777241278.61993, "env_id": "None"}
r,l,t,success,contact_success,grasp_success,grasp_lift_success,place_success,first_grasp_step,grasp_transitions,max_height,min_dist_eef_obj
91.1303,421,51.264658,True,1.0,1.0,0.0,1.0,33,8,0.0117233055884578,0.03401017977262038
115.057163,700,118.49186,False,1.0,1.0,0.0,0.0,394,3,0.0025201173117103126,0.037912706593704985
84.469038,700,171.931745,False,0.0,0.0,0.0,0.0,0,0,0.018098500508027415,0.035219438029579754
101.109473,700,230.569742,False,1.0,1.0,0.0,0.0,307,1,0.006704494838666197,0.030115702416945472
123.197133,700,298.61356,False,0.0,0.0,0.0,0.0,0,0,0.00783947746329916,0.037849515967828866
89.075581,700,357.002283,False,1.0,1.0,0.0,0.0,41,7,0.007774331127755052,0.0339854356288189
58.130514,700,408.335232,False,0.0,0.0,0.0,0.0,0,0,0.016202851263887652,0.12025637670057805
12.528282,700,447.964296,False,0.0,0.0,0.0,0.0,0,0,0.0039331108294968775,0.038721677837745855
25.421729,700,480.06104,False,1.0,1.0,0.0,0.0,39,1,0.0013135690250063448,0.03817065639032897
84.400117,363,527.408941,True,1.0,1.0,0.0,1.0,72,4,0.02190997048545551,0.036786745076732436
135.36374,700,578.233314,False,1.0,1.0,0.0,0.0,55,1,0.018645779129759954,0.03974540223184477
100.285344,700,639.621024,False,1.0,1.0,0.0,0.0,69,2,0.027389312617154715,0.040787076977180654
22.611812,700,674.476507,False,0.0,0.0,0.0,0.0,0,0,0.0020835127401369613,0.03431357724062395
136.577596,700,746.145359,False,1.0,1.0,0.0,0.0,74,7,0.005208609271271092,0.03408636999104953
142.754751,700,796.106208,False,0.0,0.0,0.0,0.0,0,0,0.002718102678360368,0.03826680349453689
142.07948,700,869.838331,False,0.0,0.0,0.0,0.0,0,0,0.004820427460738075,0.036215914612536905
48.208541,700,1011.327833,False,1.0,1.0,0.0,0.0,212,1,0.0024039838079035203,0.0302527984648759
69.737124,277,1029.748273,True,1.0,1.0,0.0,1.0,46,3,0.004137602259020268,0.03736032968968686
45.930976,700,1089.684856,False,1.0,1.0,0.0,0.0,83,4,0.006830797294964275,0.03213948404159251
118.980888,700,1144.834817,False,1.0,1.0,0.0,0.0,24,5,0.009857693380112664,0.037695387231265656
65.507336,230,1157.860502,True,1.0,1.0,0.0,1.0,28,2,0.008606446571829074,0.03329676466046528
121.115703,700,1204.50224,False,1.0,1.0,0.0,0.0,48,5,0.011070361979118037,0.033728980135877516
108.25822,700,1248.893685,False,1.0,1.0,0.0,0.0,92,2,0.0041440720519945184,0.03836825435552894
106.626672,700,1297.147904,False,0.0,0.0,0.0,0.0,0,0,0.002374290421269798,0.03579555763045963
161.600418,700,1337.86477,False,0.0,0.0,0.0,0.0,0,0,0.011557121436348572,0.04025064788662122
127.291814,700,1380.078541,False,0.0,0.0,0.0,0.0,0,0,0.0019173032534264278,0.05810161421054843
107.797402,700,1422.520714,False,1.0,1.0,0.0,0.0,36,3,0.06193816284042386,0.03918874179101075
152.081593,700,1478.271011,False,1.0,1.0,0.0,0.0,365,4,0.013277244114646591,0.034514680374629125
98.772769,700,1559.452992,False,1.0,1.0,0.0,0.0,55,2,0.0033599087415653317,0.03849776524828488
153.97981,700,1658.699242,False,1.0,1.0,0.0,0.0,41,9,0.003017419477559291,0.035858968398658736
70.974764,700,1700.097186,False,1.0,1.0,0.0,0.0,353,1,0.00508305342687676,0.032443000291151505
403.949637,700,1804.495396,False,0.0,0.0,0.0,0.0,0,0,0.011295317348862466,0.04293637339566357
159.795775,700,1838.967849,False,0.0,0.0,0.0,0.0,0,0,0.007428109607715672,0.03951322163335023
159.203697,700,1884.343891,False,1.0,1.0,0.0,0.0,132,3,0.013719723238040826,0.0344804447083976
78.746232,700,1955.442956,False,1.0,1.0,0.0,0.0,50,1,0.0072393337161344995,0.03384428868874461
43.530161,700,2021.884355,False,1.0,1.0,0.0,0.0,157,2,0.00126387202775613,0.034836707489293926
167.679524,700,2068.682413,False,1.0,1.0,0.0,0.0,51,26,0.006573623200012646,0.031902979827641564
28.629167,700,2118.928802,False,0.0,0.0,0.0,0.0,0,0,0.007524327022790822,0.03156770474286882
175.070927,700,2169.927315,False,0.0,0.0,0.0,0.0,0,0,0.004536782310128995,0.03893439120576806
172.649286,700,2214.893792,False,1.0,1.0,0.0,0.0,51,14,0.006324361598912698,0.035411814056230825
174.92204,700,2301.74216,False,1.0,1.0,0.0,0.0,385,8,4.834020393973404e-07,0.038846225277180756
22.326337,700,2372.451894,False,0.0,0.0,0.0,0.0,0,0,0.002065152062167175,0.04420261874779708
176.988235,700,2422.47408,False,0.0,0.0,0.0,0.0,0,0,5.670217900766161e-07,0.054085469906108394
150.242257,700,2461.886019,False,1.0,1.0,0.0,0.0,218,2,0.0031953513230219555,0.0404619986778516
77.713075,700,2498.456978,False,0.0,0.0,0.0,0.0,0,0,0.0026666553209191424,0.03793296991355829
