#{"t_start": 1777043357.773571, "env_id": "None"}
r,l,t,success,grasp_success,place_success,first_grasp_step,grasp_transitions,max_height
-193.013048,700,66.604021,False,1.0,0.0,208,3,0.07338757377594585
-199.748455,700,109.215961,False,0.0,0.0,0,0,0.07046741684310265
-193.012262,700,161.487774,False,0.0,0.0,0,0,0.07046752810189494
-188.415138,700,224.23951,False,0.0,0.0,0,0,0.07046730665791867
-198.164324,700,348.500861,False,0.0,0.0,0,0,0.07045472203554926
-176.946493,700,392.010078,False,0.0,0.0,0,0,0.07053496246969682
-205.378166,700,436.943317,False,0.0,0.0,0,0,0.07045993506188364
-199.996296,700,485.05144,False,0.0,0.0,0,0,0.07046752816653157
-186.943395,700,561.48058,False,0.0,0.0,0,0,0.07046758254943375
-195.421185,700,601.740468,False,0.0,0.0,0,0,0.07046745102472463
-194.032284,700,655.723334,False,1.0,0.0,185,1,0.07235918523578644
-175.676699,700,713.352914,False,0.0,0.0,0,0,0.07137375014872416
-185.867959,700,757.734238,False,0.0,0.0,0,0,0.07046744141406258
-199.935786,700,819.062378,False,0.0,0.0,0,0,0.07045486193941408
-214.205405,700,868.898985,False,0.0,0.0,0,0,0.07046752360722264
-182.986634,700,924.450605,False,0.0,0.0,0,0,0.07256627168467
-180.684496,700,984.502342,False,1.0,0.0,114,3,0.07257227935085686
-196.723782,700,1024.140301,False,0.0,0.0,0,0,0.07191098009345875
-190.682033,700,1076.596365,False,0.0,0.0,0,0,0.0728185150267231
-186.761022,700,1118.899379,False,0.0,0.0,0,0,0.07044946527543638
-172.300072,700,1174.150688,False,0.0,0.0,0,0,0.07046740842066723
-182.765094,700,6093.328475,False,1.0,0.0,94,3,0.07169208509520175
-190.176629,700,6119.968635,False,0.0,0.0,0,0,0.07195485194612561
-177.576881,700,6140.899862,False,0.0,0.0,0,0,0.07045431867773488
-204.136397,700,6166.138038,False,0.0,0.0,0,0,0.07044946131377972
-190.684385,700,6188.444922,False,0.0,0.0,0,0,0.07045548250621625
-182.30662,700,6225.081612,False,0.0,0.0,0,0,0.07425015568881588
-176.910535,700,6246.669954,False,0.0,0.0,0,0,0.070464280577897
-195.45806,700,6276.992843,False,0.0,0.0,0,0,0.07046112004835281
-171.668635,700,6299.992868,False,1.0,0.0,110,1,0.0714255310857902
-200.228428,700,6322.346671,False,0.0,0.0,0,0,0.07046771864798518
-178.386263,700,6364.799027,False,0.0,0.0,0,0,0.07046752246673027
-181.306721,700,6414.628257,False,1.0,0.0,91,2,0.07308676323075969
-168.240815,700,6435.511908,False,0.0,0.0,0,0,0.07046746151482797
-164.421659,700,6455.430584,False,0.0,0.0,0,0,0.07046748930165614
-186.946706,700,6497.602777,False,1.0,0.0,630,2,0.07179921024454139
-200.598728,700,6521.119551,False,0.0,0.0,0,0,0.07046737387051105
-186.506559,700,6546.645279,False,0.0,0.0,0,0,0.07046090946674932
-197.444363,700,6581.413947,False,0.0,0.0,0,0,0.0704514928627038
-188.2305,700,6610.184789,False,0.0,0.0,0,0,0.07046744261230731
-173.648333,700,6633.422873,False,1.0,0.0,233,1,0.07138428845597378
-179.467766,700,6662.387875,False,1.0,0.0,45,5,0.07205006157089844
-172.393027,700,6687.89235,False,1.0,0.0,203,5,0.07349635890015738
-199.27989,700,6719.959762,False,0.0,0.0,0,0,0.07265183607541403
-185.003799,700,6742.632561,False,0.0,0.0,0,0,0.07259487018692823
-181.052695,700,6777.029448,False,0.0,0.0,0,0,0.07046743397168687
-196.589423,700,6824.951973,False,0.0,0.0,0,0,0.07045777400519149
-189.532335,700,6850.432989,False,1.0,0.0,70,3,0.07282027099250732
-182.90238,700,6873.8467,False,1.0,0.0,152,2,0.08713054480566529
-189.661185,700,6894.42756,False,0.0,0.0,0,0,0.07045591853941024
-189.776247,700,6927.821323,False,0.0,0.0,0,0,0.07242091617055813
-205.852072,700,6960.311464,False,0.0,0.0,0,0,0.07046744515786973
-193.158747,700,6985.949164,False,0.0,0.0,0,0,0.07046866832237697
-135.262234,700,7021.186918,False,1.0,0.0,184,1,0.1121684707181384
-174.268403,700,7050.836781,False,1.0,0.0,69,2,0.07765560652121384
-185.549439,700,7079.587525,False,0.0,0.0,0,0,0.07045434490309777
-189.474292,700,7109.949854,False,1.0,0.0,76,1,0.07381750021584077
-205.063707,700,7137.290351,False,0.0,0.0,0,0,0.07046732495352315
-200.686658,700,7162.516557,False,0.0,0.0,0,0,0.07045318220216601
-220.359565,700,7182.253868,False,0.0,0.0,0,0,0.07160535282845548
-182.6561,700,7204.69091,False,0.0,0.0,0,0,0.07046748574178752
-187.117725,700,7235.882039,False,0.0,0.0,0,0,0.0704494560460589
-201.434975,700,7260.603982,False,0.0,0.0,0,0,0.07104607586754408
-189.128879,700,7294.057535,False,0.0,0.0,0,0,0.07160387495080955
-185.454672,700,7328.018036,False,0.0,0.0,0,0,0.070456862044467
-188.246891,700,7347.460302,False,0.0,0.0,0,0,0.07289679727263054
-193.327926,700,7373.729045,False,0.0,0.0,0,0,0.07046757838182194
-191.475013,700,7404.425617,False,0.0,0.0,0,0,0.07046726618077048
-203.707038,700,7433.977603,False,1.0,0.0,119,3,0.07274621667273495
-197.25684,700,7472.045056,False,0.0,0.0,0,0,0.07046735063765497
-190.751869,700,7497.976025,False,0.0,0.0,0,0,0.07045901829046786
-176.575647,700,7533.099451,False,0.0,0.0,0,0,0.07046739821650216
-208.330561,700,7559.239532,False,1.0,0.0,50,9,0.07367764169190982
-170.795482,700,7591.587395,False,0.0,0.0,0,0,0.0704545548554204
-189.45573,700,7615.314664,False,1.0,0.0,378,3,0.0734999697836094
-209.771763,700,7648.90125,False,1.0,0.0,60,2,0.07142453880554478
-190.807441,700,7680.482049,False,1.0,0.0,113,10,0.07324663546044274
-175.769071,700,7711.921752,False,0.0,0.0,0,0,0.07046750245971967
-167.821067,700,7747.364972,False,0.0,0.0,0,0,0.07046751399817675
-173.523308,700,7776.628151,False,0.0,0.0,0,0,0.07086573174269373
-185.713619,700,7806.219043,False,0.0,0.0,0,0,0.07046361382101762
-191.173595,700,7845.9594,False,0.0,0.0,0,0,0.07046727996601165
-185.360853,700,7874.315668,False,1.0,0.0,33,1,0.07598073621872115
-200.013688,700,7899.034289,False,0.0,0.0,0,0,0.0708197504546656
-185.301826,700,7940.816464,False,1.0,0.0,197,2,0.07485808686933682
-186.18161,700,7971.294466,False,0.0,0.0,0,0,0.07046279969473346
-202.843856,700,8010.618869,False,0.0,0.0,0,0,0.07046010118229706
-188.300853,700,8042.684045,False,0.0,0.0,0,0,0.07045696969049509
-191.627883,700,8074.760855,False,0.0,0.0,0,0,0.07258672012526346
-220.287516,700,8105.678774,False,0.0,0.0,0,0,0.07880350018111082
-227.994786,700,8149.648903,False,0.0,0.0,0,0,0.07045261599884745
-188.537796,700,8193.456461,False,0.0,0.0,0,0,0.0704587821492565
-168.503742,700,8221.880344,False,1.0,0.0,53,1,0.07124901372045478
-195.235555,700,8255.702383,False,1.0,0.0,30,5,0.07425336288473183
-180.70397,700,8279.718619,False,0.0,0.0,0,0,0.07045429530449654
-204.699379,700,8308.31451,False,1.0,0.0,36,2,0.07419551709065031
-202.319713,700,8337.340023,False,0.0,0.0,0,0,0.07046752187324512
-160.118119,700,8368.430642,False,1.0,0.0,78,10,0.07332863015589364
-200.919607,700,8401.006831,False,1.0,0.0,85,2,0.07618084581407181
-202.218699,700,8430.131493,False,0.0,0.0,0,0,0.0704534540501246
-166.346607,700,8461.612522,False,1.0,0.0,30,5,0.0848925355362985
-195.953237,700,8491.672609,False,0.0,0.0,0,0,0.07046758315793444
-150.30432,700,8524.744177,False,0.0,0.0,0,0,0.0704673902199704
-194.763046,700,8546.900304,False,1.0,0.0,132,3,0.07668507933417379
-187.732078,700,8581.751902,False,1.0,0.0,34,3,0.07292704649376802
-214.514967,700,8616.288482,False,1.0,0.0,259,2,0.07248787351781183
-180.975682,700,8649.496954,False,0.0,0.0,0,0,0.07046742455657229
-192.633466,700,8685.796757,False,1.0,0.0,247,3,0.07742050342692686
-200.659157,700,8725.453142,False,0.0,0.0,0,0,0.07045532815144617
-188.83697,700,8749.438596,False,0.0,0.0,0,0,0.0744783563432776
-166.871901,700,8778.422097,False,1.0,0.0,106,1,0.07128242685914676
-186.468414,700,8823.531048,False,0.0,0.0,0,0,0.07045514508349005
-185.646211,700,8865.394001,False,1.0,0.0,198,4,0.07290776433737522
-202.141839,700,8899.250738,False,1.0,0.0,81,2,0.07347169372761209
-172.642114,700,8934.391518,False,1.0,0.0,38,7,0.07708620442121661
-189.859927,700,8956.356442,False,1.0,0.0,58,3,0.07234341725779203
-184.996252,700,8990.796126,False,0.0,0.0,0,0,0.07046763584712723
-175.250797,700,9024.767787,False,0.0,0.0,0,0,0.07045553909652824
-166.122617,700,9044.518648,False,0.0,0.0,0,0,0.0704574185601472
-189.679791,700,9065.625393,False,0.0,0.0,0,0,0.07045558535628793
-153.938034,700,9091.042236,False,0.0,0.0,0,0,0.07106132227596207
-186.345422,700,9114.070344,False,1.0,0.0,67,3,0.07207526624906269
-90.965034,700,9140.455708,False,1.0,0.0,276,3,0.7199903888932632
-189.743742,700,9170.826314,False,1.0,0.0,34,2,0.07147337517250163
-187.429152,700,9204.574104,False,0.0,0.0,0,0,0.07046744874592503
-173.446859,700,9244.435153,False,0.0,0.0,0,0,0.07046746087970512
-190.438881,700,9268.745104,False,1.0,0.0,64,1,0.07046744658420534
-194.329234,700,9295.005412,False,0.0,0.0,0,0,0.07046747014076549
-161.725222,700,9326.069064,False,0.0,0.0,0,0,0.07046075048551137
-205.36105,700,9354.668637,False,0.0,0.0,0,0,0.07046743505493136
-173.381354,700,9398.352394,False,0.0,0.0,0,0,0.07045562933416849
-183.23834,700,9426.242034,False,1.0,0.0,33,2,0.10397386321170743
-172.118038,700,9458.308301,False,1.0,0.0,169,1,0.0790557891032001
-182.188068,700,9494.246106,False,1.0,0.0,65,1,0.07305796535572395
-172.286625,700,9534.576522,False,0.0,0.0,0,0,0.07046724023661377
-178.525214,700,9587.923202,False,0.0,0.0,0,0,0.0764464703768255
-176.296727,700,9630.491694,False,1.0,0.0,32,1,0.12862145826544602
-180.394287,700,9661.062732,False,1.0,0.0,85,1,0.07219919155882337
-184.476929,700,9694.031314,False,0.0,0.0,0,0,0.07046744031506424
-171.463837,700,9732.436231,False,1.0,0.0,59,2,0.07214680570309251
-176.14709,700,9762.131605,False,0.0,0.0,0,0,0.07046739250381784
-159.309416,700,9797.278395,False,0.0,0.0,0,0,0.07046748856694807
-175.48006,700,9836.114016,False,0.0,0.0,0,0,0.07045429585371576
-180.101163,700,9865.973108,False,1.0,0.0,42,4,0.07266747139132179
-191.031888,700,9892.984315,False,1.0,0.0,103,2,0.07302969745064325
-200.671244,700,9931.702172,False,1.0,0.0,34,4,0.07260622454683219
-172.895484,700,9958.653865,False,1.0,0.0,76,1,0.07259438895209558
-166.478514,700,9995.652043,False,0.0,0.0,0,0,0.07046745990034109
-214.901875,700,10023.555747,False,0.0,0.0,0,0,0.07046757154803573
-206.167182,700,10049.004403,False,0.0,0.0,0,0,0.07045428224013128
-209.1526,700,10075.722295,False,0.0,0.0,0,0,0.07512776857103964
-168.857888,700,10095.983308,False,0.0,0.0,0,0,0.07046748693260751
-210.103049,700,10117.063042,False,1.0,0.0,64,2,0.07824456893137743
-198.966011,700,10141.963716,False,1.0,0.0,15,3,0.07310205809632009
-175.07076,700,10174.405197,False,1.0,0.0,84,4,0.07225369681071192
-167.983603,700,10203.477679,False,1.0,0.0,50,4,0.07321238581341116
-202.653716,700,10246.648579,False,0.0,0.0,0,0,0.07046755173599273
-162.365986,700,10272.266042,False,1.0,0.0,63,1,0.07318114751642268
-174.421255,700,10304.148313,False,0.0,0.0,0,0,0.07046729540726715
-172.734771,700,10325.543195,False,0.0,0.0,0,0,0.07046738668668684
-185.644333,700,10361.041892,False,0.0,0.0,0,0,0.07064664927968833
-169.388662,700,10398.637032,False,0.0,0.0,0,0,0.07046743333148364
-193.655096,700,10426.8422,False,0.0,0.0,0,0,0.07046752504006248
-192.311877,700,10455.648634,False,1.0,0.0,52,2,0.07717066628711189
-185.919109,700,10486.762011,False,1.0,0.0,74,3,0.07331723988998362
-178.197822,700,10522.952107,False,1.0,0.0,35,2,0.07183407131221187
-173.160145,700,10548.380759,False,1.0,0.0,185,3,0.07174179620259924
-192.018445,700,10574.360183,False,1.0,0.0,69,3,0.07266931867610105
-224.248831,700,10596.414534,False,0.0,0.0,0,0,0.0710699916362012
-192.243166,700,10619.110346,False,1.0,0.0,52,2,0.07145117783208133
-167.484683,700,10647.966343,False,1.0,0.0,83,2,0.07197594118138517
-192.804561,700,10675.289005,False,0.0,0.0,0,0,0.07045560570521292
