#{"t_start": 1777043372.247226, "env_id": "None"}
r,l,t,success,grasp_success,place_success,first_grasp_step,grasp_transitions,max_height
-204.094367,700,52.133382,False,0.0,0.0,0,0,0.07046745135989319
-189.432207,700,94.74161,False,0.0,0.0,0,0,0.07046090481092981
-184.742636,700,147.014818,False,0.0,0.0,0,0,0.07046741098329656
-191.150155,700,209.813092,False,0.0,0.0,0,0,0.07046733359975699
-189.879164,700,334.028067,False,0.0,0.0,0,0,0.07046750795834322
-203.789839,700,377.538868,False,0.0,0.0,0,0,0.07046748627638799
-189.950554,700,422.485163,False,0.0,0.0,0,0,0.07046751140087648
-200.606568,700,470.577702,False,0.0,0.0,0,0,0.07046579569871414
-201.309781,700,547.009172,False,0.0,0.0,0,0,0.07045567688222432
-184.627242,700,587.267746,False,0.0,0.0,0,0,0.07046741795322531
-198.190581,700,641.251061,False,0.0,0.0,0,0,0.0704674472908633
-191.574046,700,698.882427,False,0.0,0.0,0,0,0.07046744082434553
-193.455901,700,743.264077,False,1.0,0.0,338,5,0.07398312425199849
-221.693501,700,804.593049,False,0.0,0.0,0,0,0.07046747063255099
-191.198778,700,854.481122,False,0.0,0.0,0,0,0.07045556345322723
-188.526654,700,909.981325,False,0.0,0.0,0,0,0.0704543199511134
-207.494993,700,970.03412,False,1.0,0.0,164,5,0.08325209442122705
-185.53024,700,1009.662729,False,1.0,0.0,107,1,0.07045425002719152
-188.639735,700,1062.126357,False,0.0,0.0,0,0,0.07046741506637177
-185.597147,700,1104.431349,False,0.0,0.0,0,0,0.07046746157799366
-193.143449,700,1159.677079,False,1.0,0.0,171,1,0.07297793322069668
-179.267742,700,6078.857251,False,0.0,0.0,0,0,0.07287183678609477
-192.220262,700,6105.495448,False,0.0,0.0,0,0,0.07256929702529369
-178.661634,700,6126.422938,False,1.0,0.0,25,1,0.07221802555348278
-182.066471,700,6151.664695,False,0.0,0.0,0,0,0.07046748491453525
-185.905226,700,6173.969944,False,0.0,0.0,0,0,0.07046703465476722
-173.755331,700,6210.609312,False,1.0,0.0,62,3,0.07158625718275957
-164.635918,700,6232.197037,False,0.0,0.0,0,0,0.07046747553485644
-188.086584,700,6262.518283,False,1.0,0.0,94,6,0.07462434147260588
-197.737762,700,6285.518792,False,0.0,0.0,0,0,0.07181863028033664
-168.57303,700,6307.883598,False,0.0,0.0,0,0,0.07046727886492044
-179.41312,700,6350.325549,False,0.0,0.0,0,0,0.07046745143934963
-179.235763,700,6400.153968,False,0.0,0.0,0,0,0.07046761443916416
-189.064158,700,6421.039097,False,0.0,0.0,0,0,0.07044945388320967
-183.244386,700,6440.956987,False,0.0,0.0,0,0,0.07045479748028205
-200.558867,700,6483.131203,False,0.0,0.0,0,0,0.0704513674965388
-189.793186,700,6506.643684,False,0.0,0.0,0,0,0.07046736076226845
-165.406955,700,6532.173085,False,1.0,0.0,79,1,0.07338350795043291
-193.996752,700,6566.937019,False,0.0,0.0,0,0,0.07046738769069205
-171.388267,700,6595.711881,False,1.0,0.0,86,3,0.07184753341803529
-194.884493,700,6618.954965,False,0.0,0.0,0,0,0.07045487365369274
-193.569945,700,6647.9176,False,1.0,0.0,305,1,0.10959577400496068
-185.902518,700,6673.416023,False,0.0,0.0,0,0,0.07046751020455777
-176.559512,700,6705.493113,False,0.0,0.0,0,0,0.07046748838853667
-189.703387,700,6728.152664,False,1.0,0.0,97,5,0.07210202904742002
-184.87918,700,6762.555663,False,0.0,0.0,0,0,0.0704673687610976
-188.858052,700,6810.481884,False,0.0,0.0,0,0,0.07045494096875515
-172.558702,700,6835.959838,False,0.0,0.0,0,0,0.07046735584332597
-192.92858,700,6859.375303,False,0.0,0.0,0,0,0.07045472365113647
-77.616753,700,6879.954032,False,1.0,0.0,34,3,0.5582205929918177
-192.59491,700,6913.355363,False,0.0,0.0,0,0,0.07226428361480342
-214.683806,700,6945.841297,False,0.0,0.0,0,0,0.07046751342074276
-181.570087,700,6971.476569,False,1.0,0.0,45,3,0.07287500016528159
-202.008703,700,7006.715728,False,1.0,0.0,41,4,0.1261175694411859
-202.781784,700,7036.362362,False,0.0,0.0,0,0,0.07044945797578872
-191.599646,700,7065.110913,False,0.0,0.0,0,0,0.07275610571769053
-207.772625,700,7095.474015,False,0.0,0.0,0,0,0.07046756759264006
-207.339509,700,7122.813101,False,0.0,0.0,0,0,0.07046755584062836
-233.368721,700,7148.039584,False,0.0,0.0,0,0,0.07046755904414603
-215.542701,700,7167.781755,False,1.0,0.0,215,1,0.07342281136009698
-189.026154,700,7190.218583,False,0.0,0.0,0,0,0.07071908653391146
-186.615374,700,7221.406972,False,1.0,0.0,119,2,0.0739137688289977
-171.829311,700,7246.132022,False,0.0,0.0,0,0,0.0755867111906049
-187.951471,700,7279.599547,False,0.0,0.0,0,0,0.07046106696165377
-191.086131,700,7313.546778,False,0.0,0.0,0,0,0.07046362521343952
-181.204179,700,7332.981771,False,1.0,0.0,37,2,0.07177287129528553
-199.885469,700,7359.255017,False,0.0,0.0,0,0,0.07046742576891984
-179.261627,700,7389.950093,False,1.0,0.0,31,2,0.07259163487797171
-180.134276,700,7419.502674,False,0.0,0.0,0,0,0.07046737170558881
-177.947279,700,7457.568914,False,0.0,0.0,0,0,0.07045558588771261
-180.656384,700,7483.499355,False,0.0,0.0,0,0,0.07046744639465463
-215.539723,700,7518.624272,False,1.0,0.0,36,4,0.07309131041179062
-190.774999,700,7544.762613,False,0.0,0.0,0,0,0.07044946528862173
-185.910432,700,7577.113002,False,1.0,0.0,74,1,0.08823687724722806
-190.334779,700,7600.839346,False,0.0,0.0,0,0,0.07046754931977717
-197.366994,700,7634.427021,False,0.0,0.0,0,0,0.07045776926974112
-221.433443,700,7666.011287,False,0.0,0.0,0,0,0.07045343189561559
-189.608562,700,7697.450245,False,0.0,0.0,0,0,0.07263662233447521
-175.142259,700,7732.896115,False,0.0,0.0,0,0,0.07046752281677249
-199.781779,700,7762.150794,False,0.0,0.0,0,0,0.07046744274874828
-175.866228,700,7791.747165,False,0.0,0.0,0,0,0.07046743821430079
-198.558576,700,7831.488441,False,0.0,0.0,0,0,0.0704548136201818
-204.390714,700,7859.839554,False,1.0,0.0,32,1,0.07046739911215028
-191.609671,700,7884.560801,False,1.0,0.0,56,4,0.07216143604756031
-188.349303,700,7926.339524,False,0.0,0.0,0,0,0.07285550654868012
-216.657276,700,7956.822676,False,0.0,0.0,0,0,0.07045451778218292
-225.462139,700,7996.143426,False,1.0,0.0,75,8,0.07231822868543514
-224.24265,700,8028.217009,False,0.0,0.0,0,0,0.07046740296738319
-201.201056,700,8060.284855,False,1.0,0.0,46,1,0.07205000257419236
-183.054706,700,8091.207607,False,0.0,0.0,0,0,0.07068635558731695
-191.582994,700,8135.171356,False,0.0,0.0,0,0,0.07137889292297661
-205.501543,700,8178.969773,False,0.0,0.0,0,0,0.0704543271275242
-219.794561,700,8207.399957,False,1.0,0.0,77,5,0.07290392390371381
-192.3425,700,8241.227147,False,0.0,0.0,0,0,0.0709312314344338
-184.501284,700,8265.246941,False,0.0,0.0,0,0,0.07046726713962748
-205.714613,700,8293.842382,False,1.0,0.0,39,1,0.07312917454643553
-203.742854,700,8322.866314,False,0.0,0.0,0,0,0.07046746960490757
-171.888333,700,8353.963284,False,0.0,0.0,0,0,0.0768473337017549
-185.843715,700,8386.533816,False,0.0,0.0,0,0,0.07044945768347877
-183.517873,700,8415.659562,False,1.0,0.0,27,3,0.0723070908296497
-196.478311,700,8447.137353,False,1.0,0.0,41,1,0.07111072378925609
-172.292296,700,8477.198516,False,1.0,0.0,289,1,0.07136602993649288
-195.196052,700,8510.264889,False,0.0,0.0,0,0,0.0704545688372693
-194.873846,700,8532.423155,False,0.0,0.0,0,0,0.07262166266061176
-206.787933,700,8567.280098,False,0.0,0.0,0,0,0.07188718255880988
-205.842592,700,8601.81298,False,1.0,0.0,43,6,0.09100944383658371
-206.736369,700,8635.021231,False,1.0,0.0,68,1,0.07169535610245714
-143.740962,700,8671.331216,False,1.0,0.0,29,14,0.07703969129785937
-188.909813,700,8710.978825,False,1.0,0.0,322,3,0.0739930865515166
-173.794913,700,8734.96826,False,1.0,0.0,77,6,0.0731453109594713
-194.781027,700,8763.949026,False,1.0,0.0,54,1,0.0708999786844361
-209.727275,700,8809.052199,False,1.0,0.0,44,2,0.07220597150177288
-102.981119,700,8850.913961,False,0.0,0.0,0,0,0.07045426746050698
-192.388703,700,8884.775251,False,0.0,0.0,0,0,0.07045919950033297
-180.55027,700,8919.913624,False,1.0,0.0,60,1,0.07396085326888402
-169.987527,700,8941.884378,False,1.0,0.0,87,5,0.07369305281685135
-162.41397,700,8976.324016,False,1.0,0.0,282,1,0.07198559096860413
-197.265628,700,9010.292969,False,0.0,0.0,0,0,0.07190163696894936
-207.202898,700,9030.040315,False,0.0,0.0,0,0,0.07045234121516841
-129.183257,700,9051.147108,False,1.0,0.0,29,6,0.07067890597191517
-217.844434,700,9076.566479,False,1.0,0.0,29,2,0.07102930738546609
-180.770209,700,9099.597019,False,1.0,0.0,123,1,0.07326941830299394
-170.92417,700,9125.982113,False,1.0,0.0,38,1,0.0955353740548246
-199.128291,700,9156.34838,False,0.0,0.0,0,0,0.07046749315877598
-194.273701,700,9190.099671,False,0.0,0.0,0,0,0.07046741241199628
-194.903557,700,9229.961107,False,0.0,0.0,0,0,0.07045475678264623
-208.791526,700,9254.269842,False,1.0,0.0,129,2,0.07306359657964734
-175.848777,700,9280.530654,False,0.0,0.0,0,0,0.07139598502879052
-190.532434,700,9311.598598,False,1.0,0.0,190,2,0.07177245595184345
-161.459085,700,9340.192023,False,1.0,0.0,139,2,0.0718592790588195
-185.418029,700,9383.881387,False,0.0,0.0,0,0,0.07524099573959153
-188.272865,700,9411.765504,False,0.0,0.0,0,0,0.0704494356537082
-175.897915,700,9443.836431,False,0.0,0.0,0,0,0.07045492854103852
-177.889563,700,9479.774694,False,1.0,0.0,45,1,0.073391003752446
-179.022613,700,9520.098077,False,0.0,0.0,0,0,0.07045166378836909
-200.845297,700,9573.450025,False,1.0,0.0,106,1,0.07124472379847635
-186.231072,700,9616.01402,False,1.0,0.0,62,1,0.0711889270950723
-176.341811,700,9646.588987,False,1.0,0.0,92,2,0.07045574729787718
-196.892995,700,9679.553158,False,0.0,0.0,0,0,0.0704545541200049
-200.62177,700,9717.95181,False,0.0,0.0,0,0,0.07046732169493553
-182.29724,700,9747.658225,False,1.0,0.0,56,4,0.07402113796702547
-179.709296,700,9782.80449,False,0.0,0.0,0,0,0.07046745800554466
-163.445201,700,9821.640186,False,0.0,0.0,0,0,0.09711396799093075
-179.832343,700,9851.499524,False,0.0,0.0,0,0,0.07045796181619768
-170.323911,700,9878.509433,False,1.0,0.0,99,2,0.07271625908062429
-164.188138,700,9917.229661,False,0.0,0.0,0,0,0.07405478574376745
-192.740164,700,9944.175013,False,1.0,0.0,53,1,0.07238644005827832
-204.377595,700,9981.175524,False,1.0,0.0,43,4,0.0736217571921306
-196.218357,700,10009.079179,False,0.0,0.0,0,0,0.07046748884149467
-168.50283,700,10034.529644,False,0.0,0.0,0,0,0.07181800360306101
-162.536418,700,10061.242982,False,0.0,0.0,0,0,0.07045450700746436
-163.2067,700,10081.513722,False,0.0,0.0,0,0,0.07232400407245765
-191.426932,700,10102.587887,False,0.0,0.0,0,0,0.07044945425735205
-177.179754,700,10127.486909,False,1.0,0.0,95,11,0.07626550157484568
-177.544105,700,10159.929727,False,1.0,0.0,45,4,0.07754508713677255
-168.597438,700,10189.007125,False,1.0,0.0,37,2,0.07250082344239472
-178.802909,700,10232.175006,False,1.0,0.0,41,2,0.07198164960295539
-185.289484,700,10257.794309,False,0.0,0.0,0,0,0.07045432759165482
-213.088976,700,10289.665417,False,0.0,0.0,0,0,0.07045335265764474
-173.873845,700,10311.071414,False,0.0,0.0,0,0,0.07045582018945284
-224.127449,700,10346.565981,False,1.0,0.0,88,2,0.07050107945770911
-177.103489,700,10384.163121,False,0.0,0.0,0,0,0.0724852780912153
-177.042795,700,10412.368895,False,0.0,0.0,0,0,0.07257011267871194
-175.886284,700,10441.175685,False,0.0,0.0,0,0,0.0704494617601279
-194.001135,700,10472.285765,False,1.0,0.0,204,2,0.0778559794114162
-195.399684,700,10508.480553,False,1.0,0.0,43,2,0.07046748611068554
-204.645447,700,10533.906036,False,1.0,0.0,65,1,0.07382333721527201
-174.005979,700,10559.887161,False,1.0,0.0,108,3,0.07254689743559373
-180.851816,700,10581.942462,False,1.0,0.0,37,8,0.07423343352053768
-181.294848,700,10604.637275,False,1.0,0.0,113,2,0.0706102581762642
-169.589501,700,10633.481448,False,1.0,0.0,31,7,0.07269837797438883
-213.113656,700,10660.81263,False,1.0,0.0,76,3,0.07201037522777909
-181.061533,700,10692.515149,False,0.0,0.0,0,0,0.07207664827781868
-198.292934,700,10720.226095,False,1.0,0.0,56,3,0.0730433243489379
-180.954761,700,10761.196953,False,1.0,0.0,79,7,0.07516428350785231
-186.939662,700,10798.758108,False,1.0,0.0,28,4,0.07328083974706179
-179.077844,700,10824.056492,False,0.0,0.0,0,0,0.07210994639523638
-207.341612,700,10855.41973,False,1.0,0.0,22,5,0.07340318441283478
-178.412945,700,10883.782726,False,0.0,0.0,0,0,0.0716537288746818
-198.240788,700,10917.748954,False,0.0,0.0,0,0,0.07214935995134342
-201.559585,700,10954.341272,False,0.0,0.0,0,0,0.07045267022086543
-182.986898,700,10988.866291,False,0.0,0.0,0,0,0.07272296586216975
-171.270933,700,11015.086749,False,0.0,0.0,0,0,0.07046730528116418
-186.447156,700,11053.440381,False,1.0,0.0,35,5,0.08058210768728791
-150.381379,700,11096.207346,False,1.0,0.0,88,2,0.07292585274344232
-175.371262,700,11128.712624,False,0.0,0.0,0,0,0.07046746123820768
-176.388123,700,11167.089315,False,0.0,0.0,0,0,0.07046752746405038
-184.521671,700,11194.340803,False,1.0,0.0,65,3,0.07521438920422241
-178.981137,700,11223.920227,False,0.0,0.0,0,0,0.07340727587630069
-177.699763,700,11248.118839,False,0.0,0.0,0,0,0.07045482648416346
-184.254575,700,11275.873529,False,1.0,0.0,194,2,0.07292127433945039
-182.558474,700,11301.061159,False,1.0,0.0,500,2,0.07214943882135871
-187.716367,700,11326.035459,False,0.0,0.0,0,0,0.07155244258491433
-197.874824,700,11357.666618,False,1.0,0.0,51,1,0.07125849622134861
-173.181373,700,11391.995569,False,0.0,0.0,0,0,0.07308552326342244
-169.895029,700,11418.450618,False,0.0,0.0,0,0,0.07163247923770488
-248.468142,700,11446.609111,False,0.0,0.0,0,0,0.0726454000964426
-188.376751,700,11489.889546,False,1.0,0.0,48,1,0.07045890106117558
-163.152535,700,11532.471161,False,0.0,0.0,0,0,0.07046756369074614
-183.71271,700,11559.155379,False,1.0,0.0,132,14,0.0832589591678572
-203.893055,700,11585.464475,False,0.0,0.0,0,0,0.07046376600333237
-181.263962,700,11631.110171,False,1.0,0.0,371,3,0.07955500898483103
-174.468516,700,11665.682079,False,1.0,0.0,22,5,0.07185422623637094
-195.250895,700,11702.39734,False,0.0,0.0,0,0,0.0873679540893556
-204.905686,700,11744.497884,False,1.0,0.0,45,6,0.10352925078468411
-172.422148,700,11775.465489,False,1.0,0.0,82,3,0.07284370260453277
-171.993291,700,11805.42939,False,0.0,0.0,0,0,0.1045777097346885
-202.397761,700,11829.186532,False,1.0,0.0,37,4,0.07498198454418847
-199.658772,700,11857.567094,False,0.0,0.0,0,0,0.07135114758548189
-189.908551,700,11888.945058,False,1.0,0.0,59,2,0.07202300307855491
-218.447956,700,11918.082008,False,1.0,0.0,127,2,0.07405023633524355
-167.000027,700,11945.576164,False,1.0,0.0,321,10,0.07320421728327142
-173.67864,700,11978.111158,False,1.0,0.0,189,7,0.07379538995151835
-217.174084,700,12015.102222,False,1.0,0.0,59,2,0.09585737939661543
-219.388904,700,12047.046155,False,0.0,0.0,0,0,0.07046749098750638
