#{"t_start": 1776030447.755268, "env_id": "None"}
r,l,t
0.0,500,42.874074
0.0,500,72.14786
0.0,500,120.030953
0.0,500,165.3788
0.0,500,196.580163
0.0,500,232.966714
0.0,500,261.784883
0.0,500,305.86631
0.0,500,339.971819
0.0,500,364.399528
0.0,500,392.72488
0.0,500,428.013123
0.0,500,456.739341
0.0,500,497.991772
0.0,500,528.691064
0.0,500,566.07932
0.0,500,604.364668
0.0,500,637.243016
0.0,500,668.582631
0.0,500,703.795416
0.0,500,748.361164
0.0,500,781.223939
0.0,500,812.909751
0.0,500,845.226685
0.0,500,893.804538
0.0,500,917.643909
0.0,500,940.931972
0.0,500,977.911497
0.0,500,1004.763582
0.0,500,1026.444679
0.0,500,1059.011177
0.0,500,1082.691245
0.0,500,1108.037267
0.0,500,1131.491585
0.0,500,1159.381945
0.0,500,1187.34469
0.0,500,1211.17363
0.0,500,1231.063992
0.0,500,1266.53179
0.0,500,1287.982381
0.0,500,1320.142417
0.0,500,1341.826654
0.0,500,1368.242752
0.0,500,1399.192576
0.0,500,1428.551274
0.0,500,1449.106488
0.0,500,1499.759453
0.0,500,1526.495739
0.0,500,1546.005692
0.0,500,1568.689409
0.0,500,1591.049124
0.0,500,1613.057111
0.0,500,1637.014038
0.0,500,1663.349104
0.0,500,1686.889698
0.0,500,1713.40457
0.0,500,1741.443225
0.0,500,1767.625918
0.0,500,1797.269353
0.0,500,1819.707935
0.0,500,1862.609112
0.0,500,1885.805023
0.0,500,1914.379871
0.0,500,1940.328475
0.0,500,1970.629191
0.0,500,1996.501449
0.0,500,2023.011358
0.0,500,2044.097573
0.0,500,2077.820817
0.0,500,2109.414125
0.0,500,2138.273632
0.0,500,2162.17538
0.0,500,2188.973924
0.0,500,2217.417013
0.0,500,2247.301513
0.0,500,2278.681516
0.0,500,2311.073981
0.0,500,2335.513066
0.0,500,2359.518673
0.0,500,2382.691505
0.0,500,2413.605673
0.0,500,2439.890188
0.0,500,2475.99231
0.0,500,2501.493607
0.0,500,2527.297965
0.0,500,2553.528138
0.0,500,2592.727218
0.0,500,2614.631002
0.0,500,2650.330936
0.0,500,2674.418026
0.0,500,2716.591032
