#{"t_start": 1777125388.176212, "env_id": "None"}
r,l,t,success,contact_success,grasp_success,grasp_lift_success,place_success,first_grasp_step,grasp_transitions,max_height,min_dist_eef_obj
4.215335,700,35.020155,False,0.0,0.0,0.0,0.0,0,0,0.003145030909853963,0.13271879447721374
-15.557432,700,56.909048,False,0.0,0.0,0.0,0.0,0,0,4.4586888436892735e-07,0.3861647039210185
-6.265418,700,83.88116,False,0.0,0.0,0.0,0.0,0,0,5.914890904845649e-07,0.25881592069965575
-2.876497,700,110.114459,False,0.0,0.0,0.0,0.0,0,0,1.6500359523163866e-07,0.20795158578147416
-36.114555,700,149.158421,False,0.0,0.0,0.0,0.0,0,0,6.503743400498863e-07,0.4152031559848301
2.076983,700,171.624054,False,0.0,0.0,0.0,0.0,0,0,6.51871729706599e-07,0.18309341921793482
-1.906528,700,201.402386,False,0.0,0.0,0.0,0.0,0,0,7.446689803680684e-07,0.20842422283701514
-14.965288,700,229.741793,False,0.0,0.0,0.0,0.0,0,0,5.578588159194098e-07,0.420960003761783
-6.583953,700,268.825172,False,0.0,0.0,0.0,0.0,0,0,2.0192434646570945e-07,0.17505959324179712
-22.166437,700,294.152546,False,0.0,0.0,0.0,0.0,0,0,1.0616798828966267e-07,0.32420089478054864
-15.891693,700,329.00692,False,0.0,0.0,0.0,0.0,0,0,0.002675004371934797,0.1110414086164901
13.123261,700,360.730999,False,0.0,0.0,0.0,0.0,0,0,6.537176991949778e-07,0.13184388925327575
-3.837769,700,386.004034,False,0.0,0.0,0.0,0.0,0,0,6.346217962249767e-07,0.16377249356815962
3.416077,700,421.472345,False,0.0,0.0,0.0,0.0,0,0,1.462403484531194e-06,0.15082148204420395
9.949578,700,446.077298,False,0.0,0.0,0.0,0.0,0,0,4.5677269633337403e-07,0.19505235677131383
12.996348,700,475.974751,False,0.0,0.0,0.0,0.0,0,0,0.0026736261413100593,0.05015903199842043
52.89108,700,502.724442,False,0.0,0.0,0.0,0.0,0,0,0.0014863371786039137,0.028110524368087277
2.571286,700,525.579439,False,0.0,0.0,0.0,0.0,0,0,5.49223705959001e-07,0.1069817996698393
23.013688,700,557.197897,False,0.0,0.0,0.0,0.0,0,0,0.002272772634660414,0.036965976423949776
1.330249,700,586.698496,False,0.0,0.0,0.0,0.0,0,0,6.26937212588885e-07,0.19009461773858888
10.134571,700,623.870511,False,0.0,0.0,0.0,0.0,0,0,1.0492749868973306e-07,0.04676155400347899
-14.863263,700,657.248504,False,0.0,0.0,0.0,0.0,0,0,6.303131941942652e-07,0.09526077414786964
39.890641,700,685.480586,False,0.0,0.0,0.0,0.0,0,0,0.0016804926372002704,0.06649514602571324
-2.105014,700,707.382769,False,1.0,1.0,0.0,0.0,408,1,2.9466482015516604e-06,0.03035141655821157
11.299604,700,734.599657,False,0.0,0.0,0.0,0.0,0,0,6.681362740845742e-07,0.12688206517774472
21.656971,700,759.802447,False,0.0,0.0,0.0,0.0,0,0,0.0029417924276907703,0.08746204325263689
-9.35444,700,798.938913,False,0.0,0.0,0.0,0.0,0,0,0.0006318375442128099,0.11640719632022656
38.02102,700,825.113536,False,0.0,0.0,0.0,0.0,0,0,0.0018242559282352078,0.029059974080091193
-2.776942,700,858.364414,False,0.0,0.0,0.0,0.0,0,0,0.0031274089253561232,0.032390406267489125
68.866463,700,882.50929,False,0.0,0.0,0.0,0.0,0,0,0.0025875073774658253,0.05814772185943976
40.303661,700,906.388506,False,0.0,0.0,0.0,0.0,0,0,0.004568930899482071,0.09613726811113923
67.51516,700,952.763153,False,0.0,0.0,0.0,0.0,0,0,0.0018212973536188004,0.077679482963433
85.2445,700,1005.46984,False,0.0,0.0,0.0,0.0,0,0,0.005667741547792482,0.03895986644678649
47.163639,700,1028.104393,False,0.0,0.0,0.0,0.0,0,0,0.002892837433186468,0.048028014981472675
74.359336,700,1048.421779,False,0.0,0.0,0.0,0.0,0,0,0.0019479470917417308,0.04132094810230022
82.409836,700,1080.020694,False,0.0,0.0,0.0,0.0,0,0,0.02398315751518887,0.037717005197729886
85.481987,700,1107.8364,False,0.0,0.0,0.0,0.0,0,0,0.0034152752261243924,0.03499220115829581
55.507123,700,1131.083779,False,0.0,0.0,0.0,0.0,0,0,0.0029533325761571527,0.05508180100962407
72.790961,700,1159.22819,False,1.0,1.0,0.0,0.0,118,1,0.020079897335020136,0.01958975675307315
16.236174,700,1194.645664,False,0.0,0.0,0.0,0.0,0,0,1.2994134390709178e-07,0.0910210992251826
41.07306,700,1226.539929,False,0.0,0.0,0.0,0.0,0,0,0.003546534972828641,0.07022188559944315
13.136331,700,1257.836912,False,0.0,0.0,0.0,0.0,0,0,0.046132126251841266,0.006016280691776317
29.534735,700,1281.618006,False,0.0,0.0,0.0,0.0,0,0,1.248362951455917e-06,0.06889557709674445
23.563008,700,1302.826889,False,0.0,0.0,0.0,0.0,0,0,0.003745665518494423,0.0444784436425699
83.804483,700,1324.81445,False,0.0,0.0,0.0,0.0,0,0,0.06910281515154504,0.04349903972662931
80.569487,700,1351.889209,False,0.0,0.0,0.0,0.0,0,0,0.04140573320076868,0.016215204703785808
96.216342,700,1375.511675,False,0.0,0.0,0.0,0.0,0,0,0.0028699950166957144,0.04843281612611183
98.704497,700,1405.564246,False,1.0,1.0,0.0,0.0,40,1,0.014521849688095667,0.029212129824868496
46.454809,700,1435.779435,False,0.0,0.0,0.0,0.0,0,0,0.0019258010391584035,0.05537042583292435
81.183353,700,1479.854326,False,0.0,0.0,0.0,0.0,0,0,0.013980618438322656,0.038036864508130375
115.189818,700,1502.842811,False,1.0,1.0,0.0,0.0,668,2,0.004167113960567681,0.03292232522054692
67.867757,700,1532.677097,False,0.0,0.0,0.0,0.0,0,0,0.01577822929462913,0.04859208366780104
50.855413,700,1557.868545,False,0.0,0.0,0.0,0.0,0,0,0.008503378529431616,0.03982568382342982
34.003338,700,1594.698172,False,1.0,1.0,0.0,0.0,189,1,0.0026910290644337476,0.036672435863526344
144.209505,700,1625.002304,False,0.0,0.0,0.0,0.0,0,0,0.0023450843021030066,0.017314596528075682
22.692674,700,1655.858172,False,0.0,0.0,0.0,0.0,0,0,0.002699693904067435,0.04614592765210395
102.523735,700,1682.192656,False,0.0,0.0,0.0,0.0,0,0,0.00990376786264957,0.03690334608446452
28.202884,700,1710.408373,False,0.0,0.0,0.0,0.0,0,0,0.0038790924606633137,0.03592945102929374
74.297384,700,1737.282754,False,1.0,1.0,0.0,0.0,26,3,0.0024361822170972935,0.02555244478388318
96.913412,700,1763.355593,False,0.0,0.0,0.0,0.0,0,0,0.004036957165796773,0.024734574494869814
74.21608,700,1793.179835,False,0.0,0.0,0.0,0.0,0,0,0.0018422297114485398,0.03869289555492934
125.345498,700,1816.760669,False,0.0,0.0,0.0,0.0,0,0,0.009785272628050734,0.040234558724302115
137.275664,700,1841.361758,False,0.0,0.0,0.0,0.0,0,0,0.02916113453808067,0.0269708982418746
147.583125,700,1872.298815,False,0.0,0.0,0.0,0.0,0,0,0.017536716806181185,0.026402326406144715
99.975672,700,1913.520238,False,0.0,0.0,0.0,0.0,0,0,0.004498520359775271,0.032228918676468536
148.534386,700,1934.443081,False,0.0,0.0,0.0,0.0,0,0,0.0030743983129853936,0.031096874030831098
136.811417,700,1998.731414,False,1.0,1.0,0.0,0.0,218,1,0.003846694472149914,0.03340269688630164
177.177752,700,2028.555719,False,0.0,0.0,0.0,0.0,0,0,0.004267604005046111,0.00993933270426356
190.248682,700,2056.521317,False,0.0,0.0,0.0,0.0,0,0,0.07466383233993423,0.01701083673125274
105.053113,700,2082.06325,False,0.0,0.0,0.0,0.0,0,0,0.0024249588705691494,0.03894366006805867
89.356683,700,2115.372428,False,1.0,1.0,0.0,0.0,81,1,0.014518445687385806,0.03128936388139607
189.910871,700,2142.88209,False,0.0,0.0,0.0,0.0,0,0,0.12406358139681206,0.0073087937998652635
85.450382,700,2169.857898,False,0.0,0.0,0.0,0.0,0,0,0.0025522574889809135,0.04135507413629746
166.724175,700,2195.201127,False,1.0,1.0,0.0,0.0,34,1,0.020344118147093027,0.032967955110956855
89.901756,700,2219.247121,False,1.0,1.0,0.0,0.0,269,1,0.015522761236540839,0.03282373806247806
173.907743,700,2259.030597,False,1.0,1.0,0.0,0.0,98,2,0.01446338694387006,0.022316140144385856
85.334216,700,2294.170343,False,0.0,0.0,0.0,0.0,0,0,0.0013330709651661055,0.04002432960472011
179.27769,700,2321.036301,False,1.0,1.0,0.0,0.0,33,4,0.02960681803996934,0.018750797532668572
168.683717,700,2348.817128,False,1.0,1.0,0.0,0.0,38,1,0.01692575401203167,0.021920493597457433
191.292626,700,2383.218901,False,1.0,1.0,0.0,0.0,60,5,0.008616139055877547,0.013953454734160712
120.661163,700,2419.019493,False,0.0,0.0,0.0,0.0,0,0,0.0028616738030299294,0.03868730328641202
44.663519,700,2452.673445,False,0.0,0.0,0.0,0.0,0,0,0.005656822173728759,0.0352335699063817
179.89941,700,2476.78448,False,1.0,1.0,0.0,0.0,33,1,0.05132666052691692,0.026394338573391896
115.382168,700,2512.544082,False,1.0,1.0,0.0,0.0,134,2,0.001888216086094241,0.031476170084882384
206.223823,700,2548.72701,False,0.0,0.0,0.0,0.0,0,0,0.025641010996312552,0.014004319715170207
202.398837,700,2575.399898,False,0.0,0.0,0.0,0.0,0,0,0.01793276561800583,0.016453927853481144
178.610486,700,2617.190352,False,0.0,0.0,0.0,0.0,0,0,0.015759055292627666,0.024863655574877856
207.61526,700,2644.938987,False,0.0,0.0,0.0,0.0,0,0,0.00785893454556108,0.0168090820960862
178.803517,700,2669.585393,False,1.0,1.0,0.0,0.0,23,1,0.0031734248342988325,0.03676095711448488
9.765192,700,2695.766534,False,0.0,0.0,0.0,0.0,0,0,0.008776922927900332,0.0379490677740073
193.423602,700,2722.986816,False,0.0,0.0,0.0,0.0,0,0,0.015362048936848338,0.01090804438686144
231.839187,700,2761.479636,False,0.0,0.0,0.0,0.0,0,0,0.01848836362880646,0.00776511731576456
169.481402,700,2783.867629,False,0.0,0.0,0.0,0.0,0,0,0.005373989135388779,0.033170070816612544
197.238216,700,2817.105687,False,1.0,1.0,0.0,0.0,80,1,0.011729568740416862,0.030515616329481566
212.108066,700,2846.444494,False,0.0,0.0,0.0,0.0,0,0,0.011766326534309868,0.0031347911363662348
160.992762,700,2878.396289,False,1.0,1.0,1.0,0.0,39,3,0.3893811857296432,0.004191605839076402
215.022031,700,2902.944765,False,1.0,1.0,0.0,0.0,358,1,0.008998107717208992,0.024252696359470735
244.345351,700,2933.064976,False,1.0,1.0,0.0,0.0,19,1,0.019108259237347047,0.012156020340873156
238.604207,700,2973.328282,False,0.0,0.0,0.0,0.0,0,0,0.008495422150084808,0.036447476856602316
235.734105,700,3002.32343,False,1.0,1.0,1.0,0.0,83,1,0.09231926477292596,0.009282815272997713
199.547201,700,3037.956494,False,1.0,1.0,0.0,0.0,233,1,0.04517948174203967,0.03743775957566811
156.792487,700,3070.581534,False,0.0,0.0,0.0,0.0,0,0,0.006534268149526068,0.03572979901709044
80.615844,700,3103.602416,False,1.0,1.0,1.0,0.0,76,6,0.24510951391946445,0.021583697107103436
198.032969,700,3133.554771,False,1.0,1.0,0.0,0.0,384,1,0.006213310540175265,0.028843738788024143
249.346121,700,3172.560583,False,0.0,0.0,0.0,0.0,0,0,0.01859934289458598,0.008576494452928546
262.034747,700,3204.865181,False,0.0,0.0,0.0,0.0,0,0,0.012323764199761889,0.01795513118713591
175.691901,700,3227.276737,False,1.0,1.0,1.0,0.0,100,3,0.24622095968762225,0.024006633754764174
244.152293,700,3263.912007,False,1.0,1.0,0.0,0.0,339,1,0.02265357117729161,0.006046097479070432
235.674769,700,3292.644079,False,1.0,1.0,0.0,0.0,421,1,0.031799128890013906,0.003999281688653281
211.157419,700,3321.243645,False,0.0,0.0,0.0,0.0,0,0,0.012838888570378515,0.03217633010719606
246.526781,700,3361.508255,False,1.0,1.0,0.0,0.0,30,1,0.0380703496896706,0.0032174490181381245
234.467061,700,3392.555159,False,1.0,1.0,1.0,0.0,88,6,0.14421825621858864,0.023878116152932574
260.590432,700,3420.849549,False,1.0,1.0,1.0,0.0,44,6,0.10665214316983873,0.005897176373769487
258.243912,700,3451.905447,False,0.0,0.0,0.0,0.0,0,0,0.04235352441806062,0.004497791763066123
241.475727,700,3484.100721,False,1.0,1.0,1.0,0.0,111,2,0.37476520098974275,0.007487639457041064
225.750269,700,3510.737099,False,1.0,1.0,0.0,0.0,116,1,0.014853544559120246,0.033247882596517994
174.850352,700,3537.204337,False,0.0,0.0,0.0,0.0,0,0,0.002722023368876947,0.03289884631751986
45.131097,700,3598.289789,False,0.0,0.0,0.0,0.0,0,0,0.004301751056553393,0.03836314846669819
210.921321,700,3629.01852,False,1.0,1.0,0.0,0.0,220,2,0.009142229633444354,0.005731922188978822
243.396106,700,3660.124927,False,1.0,1.0,0.0,0.0,269,2,0.019151914395957093,0.0070827951082874
