#{"t_start": 1777043321.326427, "env_id": "None"}
r,l,t,success,grasp_success,place_success,first_grasp_step,grasp_transitions,max_height
-187.024739,700,103.055026,False,0.0,0.0,0,0,0.07045433732563078
-207.675194,700,145.663238,False,0.0,0.0,0,0,0.0704573300940795
-199.113515,700,197.936892,False,0.0,0.0,0,0,0.07046751666470763
-193.055132,700,260.694572,False,0.0,0.0,0,0,0.07046750990549977
-195.970719,700,384.952378,False,0.0,0.0,0,0,0.0704676860372162
-201.198423,700,428.460289,False,0.0,0.0,0,0,0.0704674019089424
-205.278783,700,473.399176,False,0.0,0.0,0,0,0.07045556795860253
-182.001446,700,521.49609,False,0.0,0.0,0,0,0.07309336295483726
-193.705342,700,597.926407,False,0.0,0.0,0,0,0.07045473550289638
-195.124739,700,638.18854,False,0.0,0.0,0,0,0.07046744455679899
-189.346919,700,692.171618,False,0.0,0.0,0,0,0.07046452122643532
-176.985381,700,749.802743,False,0.0,0.0,0,0,0.07046357584642604
-182.942812,700,794.184433,False,0.0,0.0,0,0,0.07046743040804737
-181.261558,700,855.515225,False,0.0,0.0,0,0,0.07045566274729631
-200.287356,700,905.412346,False,0.0,0.0,0,0,0.07046747758472371
-177.032213,700,960.907504,False,0.0,0.0,0,0,0.07046736562310008
-186.948316,700,1020.953791,False,0.0,0.0,0,0,0.07044945750053067
-207.022318,700,1060.581905,False,0.0,0.0,0,0,0.07046748172825024
-192.521928,700,1113.04499,False,0.0,0.0,0,0,0.07045338833262837
-186.49854,700,1155.345657,False,0.0,0.0,0,0,0.07045137125941336
-183.876473,700,1210.596736,False,0.0,0.0,0,0,0.07046747465169001
-168.670543,700,6129.782188,False,0.0,0.0,0,0,0.07045860155518746
-171.736039,700,6156.417438,False,1.0,0.0,70,7,0.07282529426706308
-173.554833,700,6177.350406,False,0.0,0.0,0,0,0.07046747702807865
-184.492386,700,6202.585532,False,0.0,0.0,0,0,0.07045002321755578
-179.70494,700,6224.89724,False,1.0,0.0,158,1,0.07238285149569845
-183.845053,700,6261.527833,False,0.0,0.0,0,0,0.07207083390847346
-181.984856,700,6283.125814,False,1.0,0.0,87,1,0.07098660621569097
-182.035321,700,6313.442934,False,1.0,0.0,173,3,0.07243342170830946
-190.272629,700,6336.444642,False,0.0,0.0,0,0,0.07046744073439337
-177.736084,700,6358.798971,False,0.0,0.0,0,0,0.07045458118305958
-193.725117,700,6401.246985,False,0.0,0.0,0,0,0.07045432645757055
-192.215612,700,6451.076587,False,0.0,0.0,0,0,0.07046022032637156
-172.108057,700,6471.964753,False,1.0,0.0,64,3,0.07337255188460834
-191.160058,700,6491.878378,False,0.0,0.0,0,0,0.07109495641378472
-172.808107,700,6534.062401,False,0.0,0.0,0,0,0.07044946150357156
-215.159495,700,6557.563092,False,1.0,0.0,116,1,0.0885070304695541
-179.685854,700,6583.093702,False,0.0,0.0,0,0,0.07046742946313833
-192.852883,700,6617.857986,False,1.0,0.0,168,5,0.0726513445033884
-168.973397,700,6646.639453,False,0.0,0.0,0,0,0.07045492036043055
-187.042315,700,6669.872999,False,0.0,0.0,0,0,0.07046748484984755
-191.183555,700,6698.836513,False,0.0,0.0,0,0,0.07045472897530336
-187.378605,700,6724.337038,False,0.0,0.0,0,0,0.07046005420344847
-188.896096,700,6756.414634,False,1.0,0.0,36,6,0.073263289609096
-178.735596,700,6779.075699,False,1.0,0.0,39,3,0.07312390742430674
-195.395908,700,6813.48131,False,1.0,0.0,52,1,0.07106530844679815
-202.309261,700,6861.400502,False,0.0,0.0,0,0,0.07133564753083133
-193.560592,700,6886.886203,False,0.0,0.0,0,0,0.07194577577572092
-207.23341,700,6910.302126,False,0.0,0.0,0,0,0.08409039421973896
-191.044287,700,6930.875999,False,0.0,0.0,0,0,0.07046736371805606
-208.444045,700,6964.271698,False,1.0,0.0,117,1,0.07332975785591667
-183.208612,700,6996.762768,False,0.0,0.0,0,0,0.07046734965798263
-171.703698,700,7022.396817,False,1.0,0.0,127,1,0.07225860230840109
-213.095637,700,7057.638092,False,0.0,0.0,0,0,0.07045553111475711
-178.202469,700,7087.282002,False,1.0,0.0,65,6,0.08260145085782078
-178.889945,700,7116.036137,False,0.0,0.0,0,0,0.07046741134089551
-197.785819,700,7146.399563,False,1.0,0.0,72,1,0.07176157894638702
-187.418421,700,7173.738739,False,0.0,0.0,0,0,0.07045653669813179
-202.58269,700,7198.960925,False,0.0,0.0,0,0,0.07046752932489886
-184.880383,700,7218.701853,False,1.0,0.0,275,3,0.07291897443904072
-187.77839,700,7241.1462,False,0.0,0.0,0,0,0.07046742110520154
-174.940225,700,7272.334133,False,0.0,0.0,0,0,0.0704673620809424
-201.515979,700,7297.05398,False,1.0,0.0,53,3,0.07369781411825038
-211.656802,700,7330.509528,False,0.0,0.0,0,0,0.0704543208611772
-180.863592,700,7364.472056,False,1.0,0.0,149,2,0.073302909874022
-189.355358,700,7383.908352,False,0.0,0.0,0,0,0.07046734904807417
