#{"t_start": 1776052159.8479438, "env_id": "None"}
r,l,t
0.0,500,21.793406
0.0,500,44.010616
0.0,500,75.921007
0.0,500,97.415036
0.0,500,115.387353
0.0,500,140.731085
0.0,500,174.039331
0.0,500,197.589562
0.0,500,219.029185
0.0,500,240.810158
0.0,500,261.769514
0.0,500,282.571203
0.0,500,313.041179
0.0,500,333.566068
0.0,500,357.451406
0.0,500,379.498758
0.0,500,401.980845
0.0,500,425.44762
0.0,500,444.278535
0.0,500,467.374143
0.0,500,489.295712
0.0,500,509.576605
0.0,500,536.07809
0.0,500,562.829975
0.0,500,581.260144
0.0,500,606.85282
0.0,500,639.630726
0.0,500,666.161803
0.0,500,690.159178
0.0,500,710.529348
0.0,500,731.904458
0.0,500,752.727114
0.0,500,774.988901
0.0,500,796.579177
0.0,500,829.184068
0.0,500,857.490382
0.0,500,876.657318
0.0,500,907.821966
0.0,500,930.608847
0.0,500,956.660058
0.0,500,990.691593
0.0,500,1009.199366
0.0,500,1039.833706
0.0,500,1066.301083
0.0,500,1089.248357
0.0,500,1120.087162
0.0,500,1138.133138
0.0,500,1205.29821
0.0,500,1226.306701
0.0,500,1252.360943
0.0,500,1270.938567
0.0,500,1291.68766
0.0,500,1327.081692
0.0,500,1350.915257
0.0,500,1372.915398
0.0,500,1393.416916
0.0,500,1423.529135
0.0,500,1449.924349
0.0,500,1490.821357
0.0,500,1516.618111
0.0,500,1550.943932
0.0,500,1589.960032
0.0,500,1618.462256
0.0,500,1640.638251
0.0,500,1660.588907
0.0,500,1682.125427
0.0,500,1703.831152
0.0,500,1722.683798
0.0,500,1746.528608
0.0,500,1780.370553
0.0,500,1803.368191
0.0,500,1831.654606
0.0,500,1860.06273
0.0,500,1886.266171
0.0,500,1925.582488
0.0,500,1952.469922
0.0,500,1977.309325
0.0,500,1999.06607
0.0,500,2019.825949
0.0,500,2052.910255
0.0,500,2081.0272
0.0,500,2106.824947
0.0,500,2128.429026
0.0,500,2147.179771
