timestep,ep_rew_mean,ep_len_mean,success_rate,contact_success_rate,grasp_success_rate,grasp_lift_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,min_dist_eef_obj_mean,n_episodes
8192,97.61299433333335,669.0,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.0,0.1111111111111111,111.44444444444444,5.444444444444445,0.005833298608784097,0.03625286929006038,9
16384,86.75892252380952,686.7142857142857,0.047619047619047616,0.7142857142857143,0.7142857142857143,0.0,0.047619047619047616,86.14285714285714,4.0476190476190474,0.006267538300961849,0.03784325472191381,21
24576,85.35595575757576,691.5454545454545,0.030303030303030304,0.6666666666666666,0.6666666666666666,0.0,0.06060606060606061,66.06060606060606,3.1515151515151514,0.007067117821320416,0.0402357712092819,33
32768,93.35880873333332,686.3111111111111,0.044444444444444446,0.6888888888888889,0.6888888888888889,0.0,0.06666666666666667,66.22222222222223,3.1555555555555554,0.008678960058027948,0.03971854480433084,45
40960,96.37013535087719,689.1929824561404,0.03508771929824561,0.6842105263157895,0.6842105263157895,0.0,0.05263157894736842,76.08771929824562,3.3157894736842106,0.009214784952713093,0.0390999857775377,57
49152,97.53926397142857,681.6428571428571,0.05714285714285714,0.7,0.7,0.0,0.07142857142857142,72.42857142857143,3.414285714285714,0.009108702545761446,0.038479103357710126,70
57344,100.47709113414635,678.5975609756098,0.06097560975609756,0.7073170731707317,0.7073170731707317,0.0,0.07317073170731707,72.63414634146342,3.3902439024390243,0.008721003506064091,0.03842087466604126,82
65536,101.32585272340425,681.3297872340426,0.05319148936170213,0.6595744680851063,0.6595744680851063,0.0,0.06382978723404255,66.90425531914893,3.0531914893617023,0.008305949874847394,0.03922244286715996,94
73728,103.0582169,682.66,0.05,0.64,0.64,0.01,0.07,63.84,2.73,0.009447630306624134,0.039266007106403544,100
81920,106.86175632,674.83,0.07,0.66,0.66,0.01,0.09,63.3,3.01,0.00897017087086308,0.0396905786225992,100
90112,116.07221763000001,674.83,0.07,0.62,0.62,0.01,0.08,63.85,2.83,0.00903448662009865,0.03905385227468136,100
98304,119.68353215999997,676.6,0.07,0.62,0.62,0.01,0.08,68.55,2.96,0.008779986714214972,0.038834610377189674,100
106496,122.82965799000002,676.6,0.07,0.59,0.59,0.01,0.09,60.11,2.82,0.008787056073111843,0.03859165964341988,100
114688,122.03680811,679.19,0.06,0.59,0.59,0.01,0.08,63.47,2.81,0.00884119921521437,0.03883439539369269,100
122880,127.07841019,680.06,0.06,0.61,0.61,0.01,0.09,68.16,3.02,0.009036746171997396,0.038706210305973966,100
131072,130.61651093,674.95,0.07,0.64,0.64,0.02,0.1,69.85,3.41,0.00992312461421109,0.03781467923678251,100
139264,136.28169325000002,673.38,0.08,0.66,0.66,0.02,0.1,75.64,3.58,0.00974222750098054,0.03774521494196943,100
147456,139.60620985999998,683.79,0.05,0.66,0.66,0.02,0.08,78.46,3.86,0.01037501720449172,0.036698861555289695,100
155648,140.44055368000002,679.68,0.06,0.69,0.69,0.02,0.1,79.05,3.99,0.011201095195495836,0.037450642697328666,100
163840,145.99850941,678.3,0.08,0.71,0.71,0.03,0.12,86.6,4.41,0.01198241202351646,0.03735985626510323,100
172032,146.99462032000002,679.9,0.07,0.72,0.72,0.03,0.1,86.3,4.58,0.01140707579455006,0.03738621918841749,100
180224,155.06590549999999,670.91,0.09,0.69,0.69,0.03,0.12,84.7,4.24,0.01181428132158307,0.0379290402736094,100
188416,156.20179718,678.84,0.07,0.66,0.66,0.05,0.1,81.06,4.12,0.014156101887417031,0.03741748987544013,100
196608,154.92448625,679.74,0.07,0.65,0.65,0.04,0.09,84.0,3.74,0.014944844495893155,0.03729268251373417,100
204800,158.84686355,672.13,0.09,0.61,0.61,0.03,0.11,89.1,3.43,0.014092614250039466,0.037700596643062044,100
212992,165.35427587,672.45,0.09,0.64,0.64,0.03,0.12,90.64,3.43,0.014139164172335099,0.03781919070744822,100
221184,168.93914098999997,671.1,0.1,0.66,0.66,0.03,0.13,90.09,3.47,0.014020962393148284,0.03678241009225675,100
229376,168.75426850999997,671.74,0.09,0.67,0.67,0.04,0.11,91.23,3.42,0.01409197312911449,0.036405897375490326,100
237568,172.86458584,672.48,0.08,0.68,0.68,0.05,0.1,91.7,3.17,0.014676686966741136,0.0369045991391099,100
245760,179.50744408,670.74,0.09,0.72,0.72,0.05,0.11,102.55,3.44,0.013830772206312493,0.03654188984037229,100
253952,181.02591578000002,668.99,0.09,0.74,0.74,0.04,0.11,114.83,3.64,0.012501278711255366,0.036563955888664394,100
262144,183.33498846000003,673.2,0.08,0.75,0.75,0.04,0.11,119.62,3.61,0.013435964401244744,0.036904429098398354,100
270336,187.74415146000004,677.7,0.07,0.76,0.76,0.04,0.1,107.34,3.69,0.014618995420992311,0.037396982713532145,100
278528,185.59243757000002,680.81,0.06,0.71,0.71,0.04,0.07,99.6,3.48,0.014103423138882859,0.03813497329535205,100
286720,190.99437304000003,681.34,0.05,0.69,0.69,0.05,0.07,101.54,3.72,0.013539545614795912,0.03854921839526296,100
294912,196.80124668999997,680.81,0.05,0.68,0.68,0.04,0.07,101.57,3.52,0.013688699537833773,0.038888718953540555,100
303104,193.55827236999997,680.81,0.05,0.66,0.66,0.03,0.07,91.5,3.44,0.013259807382922881,0.03894604697481266,100
311296,202.64597562999995,685.27,0.04,0.65,0.65,0.04,0.06,81.92,3.79,0.014598222039222284,0.038422706836069735,100
319488,208.38575080999996,687.01,0.04,0.62,0.62,0.05,0.06,71.4,3.51,0.014626588368945911,0.03850610358770659,100
327680,210.78329214000001,679.4,0.06,0.64,0.64,0.04,0.08,67.03,3.58,0.013731683072492005,0.038149560145789504,100
335872,216.79643227,673.65,0.07,0.67,0.67,0.04,0.08,76.95,3.7,0.014040401855959615,0.03701512523323411,100
344064,218.38217404000002,673.65,0.07,0.71,0.71,0.04,0.08,87.95,3.93,0.014303530735257421,0.03617812809543461,100
352256,218.84484802,673.65,0.07,0.72,0.72,0.03,0.07,88.78,3.93,0.015343867879013881,0.03667620268489224,100
360448,215.84477294,667.54,0.08,0.73,0.73,0.03,0.08,89.9,3.98,0.016061704059322116,0.035635645027478215,100
368640,226.12689491,667.54,0.08,0.72,0.72,0.02,0.08,90.26,4.05,0.01587657652983377,0.035769452320441375,100
376832,228.66584564999997,663.66,0.09,0.74,0.74,0.02,0.1,96.53,3.95,0.014441029732477543,0.03572095004296703,100
385024,235.32974773,665.7,0.08,0.74,0.74,0.03,0.09,99.76,3.92,0.01523003125023921,0.03553892724381291,100
393216,239.76192706,673.97,0.06,0.73,0.73,0.05,0.07,111.48,3.63,0.014891522346904225,0.03544616391825874,100
401408,252.49710945000004,675.89,0.07,0.72,0.72,0.05,0.08,104.62,4.13,0.014540689162270883,0.035583266442857406,100
409600,265.04130398,675.0,0.08,0.72,0.72,0.05,0.09,93.84,4.14,0.014355176634912169,0.03586448382879819,100
417792,272.65073427,673.57,0.09,0.71,0.71,0.06,0.1,90.03,4.21,0.01364181501174543,0.03545925417950305,100
425984,281.42256343,682.2,0.07,0.71,0.71,0.06,0.09,89.0,4.0,0.01300089613769966,0.03573707442565958,100
434176,286.92209942,682.2,0.07,0.72,0.72,0.07,0.09,93.6,4.47,0.013505630659720125,0.03658809971566455,100
442368,288.90425872000003,682.2,0.07,0.7,0.7,0.06,0.08,83.82,4.16,0.01440423529249725,0.03660749988953674,100
450560,294.71884947,686.08,0.06,0.71,0.71,0.05,0.07,83.19,4.24,0.013243331802125074,0.03677998594019968,100
458752,303.50359709,685.2,0.08,0.74,0.74,0.02,0.1,64.82,4.88,0.013132367212431202,0.03673969094542434,100
466944,310.45178513999997,689.38,0.06,0.73,0.73,0.02,0.09,64.01,4.68,0.012564492623058563,0.03709945615961155,100
475136,311.89500713,686.99,0.06,0.76,0.76,0.02,0.1,66.74,4.7,0.012433900689852433,0.0367115329226142,100
483328,313.9126408,679.81,0.09,0.76,0.76,0.02,0.13,65.93,4.81,0.013348948257463203,0.03701996181067971,100
491520,322.90864344,681.4,0.08,0.74,0.74,0.03,0.12,68.44,5.1,0.013583268447419541,0.03673223997100231,100
499712,326.73141415999993,677.02,0.09,0.74,0.74,0.02,0.13,64.84,4.88,0.012957384453046186,0.03551630997412938,100
