#{"t_start": 1777125367.666899, "env_id": "None"}
r,l,t,success,contact_success,grasp_success,grasp_lift_success,place_success,first_grasp_step,grasp_transitions,max_height,min_dist_eef_obj
-24.173034,700,55.529372,False,0.0,0.0,0.0,0.0,0,0,6.340248245306768e-07,0.3224921901586668
-7.016878,700,77.417785,False,0.0,0.0,0.0,0.0,0,0,7.975128021309175e-07,0.358149050264325
-16.597626,700,104.396681,False,0.0,0.0,0.0,0.0,0,0,6.307876413425006e-07,0.28608349511532116
-7.975757,700,130.619829,False,0.0,0.0,0.0,0.0,0,0,3.456586514793969e-07,0.4126816847224693
-12.500199,700,169.671052,False,0.0,0.0,0.0,0.0,0,0,7.673498647609023e-08,0.31654578976503156
-12.985669,700,192.138829,False,0.0,0.0,0.0,0.0,0,0,6.347164600573052e-07,0.3188181004059232
-5.438643,700,221.908468,False,0.0,0.0,0.0,0.0,0,0,8.807209149752637e-07,0.33422369218786124
-13.699517,700,250.256282,False,0.0,0.0,0.0,0.0,0,0,1.940753538987039e-07,0.30211275536244014
-20.037061,700,289.34399,False,0.0,0.0,0.0,0.0,0,0,1.486575165188242e-07,0.15699917914310152
2.673166,700,314.660962,False,0.0,0.0,0.0,0.0,0,0,6.423469378624702e-07,0.23308333247127158
-14.853791,700,349.521551,False,0.0,0.0,0.0,0.0,0,0,0.0018635262281051501,0.1196980511603541
12.31802,700,381.241351,False,0.0,0.0,0.0,0.0,0,0,0.005287642324291908,0.1552270599954128
21.140699,700,406.508046,False,0.0,0.0,0.0,0.0,0,0,0.0026615335611146484,0.032872177757466224
22.37282,700,441.986281,False,0.0,0.0,0.0,0.0,0,0,0.00185615520076865,0.08038843026391157
-1.994779,700,466.585448,False,0.0,0.0,0.0,0.0,0,0,6.037761655086626e-07,0.134450184715706
3.384779,700,496.481646,False,0.0,0.0,0.0,0.0,0,0,0.0015175224079548855,0.15653858471930446
16.426827,700,523.233027,False,0.0,0.0,0.0,0.0,0,0,0.1006242297774893,0.0355434654663841
37.426485,700,546.090031,False,0.0,0.0,0.0,0.0,0,0,0.0025576414348897902,0.06111105028268275
5.721261,700,577.707756,False,0.0,0.0,0.0,0.0,0,0,0.002866922741151079,0.1123113470644638
-8.19817,700,607.210258,False,0.0,0.0,0.0,0.0,0,0,0.0018492673919091596,0.18105426461398108
33.161896,700,644.388265,False,0.0,0.0,0.0,0.0,0,0,0.0030154692531322302,0.097131630885222
-4.94718,700,677.762589,False,0.0,0.0,0.0,0.0,0,0,0.0037173754754415977,0.11844297515928617
80.153405,700,705.996695,False,0.0,0.0,0.0,0.0,0,0,0.003156879052543693,0.048532979971649605
-10.548731,700,727.893266,False,0.0,0.0,0.0,0.0,0,0,0.003918000808672661,0.06420188894582421
-3.215495,700,755.102026,False,0.0,0.0,0.0,0.0,0,0,1.3742318294429623e-07,0.17229580498586367
43.040443,700,780.309735,False,0.0,0.0,0.0,0.0,0,0,0.00505677406846794,0.06628071996190517
16.70785,700,819.446906,False,0.0,0.0,0.0,0.0,0,0,0.0024891189024152105,0.05570406953752951
