timestep,ep_rew_mean,ep_len_mean,success_rate,min_dist_avg_cm,apple_variance_cm,apple_max_lift_cm,apple_max_drop_cm,z_range_cm,final_apple_z_m,final_gripper_open,open_dist_cm,release_dist_cm,n_episodes
195001,225.884,250.0,0.97,99900.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,100
195250,221.066,250.0,0.96,46.4322954416275,36.894217133522034,36.38494610786438,34.54388976097107,36.67142987251282,0.9504494667053224,0.0,46.25999440056409,46.97493612766266,100
195500,216.31099999999995,250.0,0.95,38.58150988817215,35.79375743865967,34.480881690979004,33.912357687950134,34.97612774372101,0.9504581689834596,0.0,38.481195869630966,41.35242849588394,100
195750,211.5245,250.0,0.94,38.36495379606883,54.79039351145426,34.97255742549896,52.27842330932617,53.46441864967346,0.7708843350410461,0.0,39.56256300382243,38.8648917277654,100
196000,206.66,250.0,0.93,37.80234530568123,51.72969624400139,36.34352087974548,48.44934642314911,50.36630630493164,0.8157767057418823,0.0,38.62038794428454,39.32882398366928,100
196250,203.035,250.0,0.92,34.29457277059555,49.91773724555969,35.9933465719223,45.95390856266022,47.48747944831848,0.8426521420478821,0.2,34.801064960216365,38.725608587265015,100
196500,198.3405,250.0,0.91,33.787430077791214,48.262977600097656,35.684144496917725,44.08509433269501,45.36306858062744,0.860542356967926,0.3333333333333333,34.21349257157387,39.79485084613164,100
196750,193.476,250.0,0.9,34.037694122110096,46.684481842177256,35.37726402282715,42.71879494190216,43.81420314311981,0.8733887672424316,0.2857142857142857,34.21061168979366,40.69090698446546,100
197000,189.9425,250.0,0.9,32.54071082919836,46.688053384423256,34.9262535572052,41.5315568447113,42.49003529548645,0.8829360008239746,0.375,32.624416620544594,41.52056872844696,100
197250,186.313,250.0,0.89,31.937460601329803,45.41253977351719,34.65774655342102,40.6089723110199,41.46095514297485,0.8904379606246948,0.4444444444444444,31.82931001098684,40.97425308492448,100
197500,186.317,250.0,0.89,30.084811449050903,45.45936644077301,34.52451825141907,39.88943696022034,40.65621793270111,0.896440863609314,0.4,29.42088031488067,40.037623047828674,100
197750,185.5095,250.0,0.88,28.503555194898084,45.14750269326297,34.264397621154785,39.14956152439117,39.84663784503937,0.9013612866401672,0.4545454545454545,27.654396534574804,39.12972726605155,100
198000,181.9565,250.0,0.87,28.406300023198128,44.97031420469284,34.241434931755066,38.74530792236328,39.38429355621338,0.9053954482078552,0.5,27.4714374539538,40.04713520407677,100
198250,180.777,250.0,0.86,27.43790642573284,45.79961391595694,34.27691161632538,38.508301973342896,39.09813463687897,0.9088614583015442,0.5384615384615384,26.28169301252023,39.56101467976204,100
198500,178.26199999999997,250.0,0.85,26.60857864788601,45.51388323307037,34.26600992679596,38.20546269416809,38.75316679477692,0.9118497967720032,0.5714285714285714,25.170649028866364,38.28256587897028,100
198750,174.833,250.0,0.84,26.39085054397583,44.87008035182953,34.05420184135437,37.7581000328064,38.26928734779358,0.9144242405891418,0.6,24.88213072600388,37.98434803883234,100
199000,171.31149999999997,250.0,0.83,25.174178602173924,45.85889969021082,34.03075635433197,37.607502937316895,38.08674514293671,0.9166374206542968,0.625,24.54592990523328,37.57020244374871,100
199250,171.29149999999998,250.0,0.83,24.18808722320725,46.12368257606731,34.099411964416504,37.355586886405945,37.806636095047,0.9197037816047668,0.5882352941176471,23.281137565624867,36.42902041182799,100
199500,167.21200000000002,250.0,0.82,24.565805453393192,45.91841515567568,34.028494358062744,37.12744414806366,37.55343854427338,0.9213858842849731,0.6048050324122111,23.643293318265137,37.14834849039714,100
199750,163.64100000000002,250.0,0.81,24.33828025272018,45.68714907294826,33.90054106712341,36.8545800447464,37.25815415382385,0.9229183197021484,0.6256047675484105,23.294825097983203,37.14212539948915,100
200000,160.01000000000002,250.0,0.8,23.83118275552988,46.4461675286293,33.924636244773865,36.75964176654816,37.14303374290466,0.924260914325714,0.64432452917099,23.369063401363487,36.67173534631729,100
200250,151.32231355,250.0,0.79,23.315367421933583,47.920580137343634,33.931055665016174,36.63699924945831,37.00213730335236,0.9254280924797058,0.6612614563533238,24.01632195340378,35.95478555985859,100
200500,145.11845026999998,250.0,0.78,23.334954441948373,47.40066650238904,33.90017747879028,36.502864956855774,36.85140609741211,0.9265661835670472,0.6766586628827181,23.967788942607864,35.64131483435631,100
200750,139.22288703,250.0,0.77,23.361436731141545,47.32560761596846,33.9189350605011,36.45563423633576,36.789023876190186,0.9275783896446228,0.6472387210182522,24.03141702989061,35.70502730815307,100
201000,140.92655826999996,250.0,0.76,22.622867254540324,48.24141301214695,33.96275043487549,36.31281554698944,36.63230836391449,0.9293441772460938,0.6619371076424917,23.10464942619595,35.06132022788127,100
201250,140.36813819,250.0,0.75,22.4516688734293,48.22828018665314,33.96488428115845,36.23536825180054,36.5420788526535,0.9301615357398988,0.675459623336792,22.73757627742085,35.00456672906876,100
201500,133.61841347,250.0,0.74,22.59328057273076,47.82264668207903,33.92183184623718,36.118268966674805,36.41318678855896,0.9309651255607604,0.6879419455161462,22.81901783236724,35.18205474202449,100
201750,127.85316782,250.0,0.73,22.649076153282767,47.51834284376215,33.91338586807251,36.03556156158447,36.31955683231354,0.9316052198410034,0.6624626142007334,22.79133374457027,35.220174822542404,100
202000,123.55121973,250.0,0.72,22.44239504049932,47.74302893451282,33.84703993797302,35.89456081390381,36.1684113740921,0.9322782158851624,0.6388032351221357,22.609571880743243,35.21737206195082,100
202250,118.78372022000002,250.0,0.71,22.46638172916297,47.37545827339436,33.80004167556763,35.785481333732605,36.04988753795624,0.9328814148902892,0.6512582959799931,22.518012215269184,34.96071197863283,100
202500,114.26684476,250.0,0.7,22.38930946836869,47.13833431402843,33.83210301399231,35.77313423156738,36.028727889060974,0.9334671497344972,0.6628830194473266,22.411821596523364,34.74008306860924,100
202750,107.40064499000002,250.0,0.69,22.5016450329173,46.78837906929754,33.77545773983002,35.69802641868591,35.94537675380707,0.934032678604126,0.6414996962393483,22.488767804196595,34.663865883504194,100
203000,102.82125838,250.0,0.68,22.514688421506435,46.701030526310205,33.784860372543335,35.65935492515564,35.898977518081665,0.9345247745513916,0.6527028307318687,22.394501642439657,34.493547631427646,100
203250,98.86961105,250.0,0.67,22.4473578121626,46.37260400887692,33.74190330505371,35.57707965373993,35.80944240093231,0.9350072741508484,0.6632269873763575,22.262980744473232,34.34982376568245,100
203500,94.08342605,250.0,0.66,22.27157596498728,46.28582149744034,33.701881766319275,35.484328866004944,35.70985496044159,0.9354481101036072,0.6731320759829353,22.197469675370264,33.85933383422739,100
203750,91.23468317,250.0,0.65,21.817692805613788,47.15972023350852,33.69917869567871,35.392895340919495,35.61197817325592,0.9364317655563354,0.6538997309548514,21.897408283207835,33.63142022064754,100
204000,92.50048960000002,250.0,0.64,21.352744288742542,47.48080232077175,33.70985984802246,35.305944085121155,35.51894426345825,0.9373155236244202,0.6635136273172166,21.36776278108988,32.836989572064745,100
204250,89.35546719000001,250.0,0.63,21.01177520848609,47.98368207506231,33.72473120689392,35.24377644062042,35.45101881027222,0.9381827116012572,0.6693713052852733,21.24920135611764,32.36275710970969,100
204500,87.62179867000003,250.0,0.62,20.493803604653007,48.35217320605329,33.72463285923004,35.16883850097656,35.37062704563141,0.9388614296913148,0.6517562709356609,20.94818475469369,31.63748256077892,100
204750,83.31730577000003,250.0,0.61,20.245485982069603,48.8942231123264,33.70412588119507,35.115352272987366,35.31196415424347,0.9391587376594543,0.660685597321926,20.87778704687414,31.129637876382244,100
205000,78.59774435000003,250.0,0.6,19.94242234155536,51.0268484801054,34.020477533340454,35.08903980255127,35.59904396533966,0.939401626586914,0.6441684573888778,22.272732821766,31.346148531883955,100
205250,74.18669658,250.0,0.59,19.843843452087263,50.7973271899107,34.00479555130005,35.06801426410675,35.56557893753052,0.9396538138389589,0.6284570315989052,22.11758814898656,30.992411749392023,100
205500,75.15211307,250.0,0.58,19.56732102802821,51.01595996391206,33.990901708602905,35.00339984893799,35.48911809921265,0.9404129981994628,0.6373032927513123,21.729078282503902,30.85813378649099,100
205750,73.06229650000002,250.0,0.57,19.455863777981246,50.968317860780765,33.968985080718994,34.95807349681854,35.432496666908264,0.9406501650810242,0.6224822859431423,21.588103272731185,30.565739630959754,100
206000,68.42234365,250.0,0.56,19.436708770015024,51.031405885111205,34.02913808822632,35.01192331314087,35.47556400299072,0.940866231918335,0.6083349612626162,21.53168286454993,30.7047876952724,100
206250,69.02933353,250.0,0.55,19.193123082319897,50.997929241922165,34.05025005340576,34.971776604652405,35.42511463165283,0.9414640069007874,0.6170386287901136,21.11057530401904,30.359368903769383,100
206500,62.05263449000001,250.0,0.54,19.4307428015315,50.88186665721561,34.052544832229614,34.98125970363617,35.42473912239075,0.941646158695221,0.6253638759903286,21.375284895705533,30.8712007396895,100
206750,56.39590463000001,250.0,0.53,19.26164592200137,50.93250756568097,34.118813276290894,35.02924144268036,35.46328544616699,0.9418335556983948,0.6120582616075556,21.46454252790646,31.01019876751494,100
207000,48.51521496,250.0,0.52,19.13340690856179,51.33241812388102,34.100040793418884,35.00133752822876,35.426339507102966,0.9419925212860109,0.6201403811573982,21.73874687244001,31.15055131105085,100
207250,44.04509396,250.0,0.51,18.80571550632618,51.568754108584656,34.10973846912384,34.99444127082825,35.4107677936554,0.9421513080596924,0.627892618276635,21.693330755771782,30.75721177215479,100
207500,36.48532896,250.0,0.5,18.841707084327936,51.60202956199647,34.16745364665985,35.05908250808716,35.470375418663025,0.9423037171363832,0.6353347659111023,21.774300863293984,30.82341019809246,100
207750,37.41324056,250.0,0.49,18.50489674172565,51.91239399068496,34.19145941734314,35.033756494522095,35.43698489665985,0.94285786151886,0.6424850646187278,21.540238208405032,30.63196740021892,100
208000,38.35587722,250.0,0.48,18.23632637253748,51.98792448410621,34.23741161823273,35.024839639663696,35.42031645774841,0.9433819055557252,0.6493603518375983,21.16103899138412,30.487800002671207,100
208250,39.99860983999999,250.0,0.47,18.053181051223905,51.94756962218374,34.22239422798157,34.95825231075287,35.34626364707947,0.9438741207122804,0.6559761942557569,20.817993571470144,30.350753763374293,100
208500,34.47526895,250.0,0.46,17.943425079876626,52.10170922455964,34.21660959720612,34.939271211624146,35.32009720802307,0.9439833760261536,0.6623470054732429,20.82737687903952,30.36575636102093,100
