#{"t_start": 1777220699.198121, "env_id": "None"}
r,l,t,success,contact_success,grasp_success,grasp_lift_success,place_success,first_grasp_step,grasp_transitions,max_height,min_dist_eef_obj
72.511734,421,43.00959,True,1.0,1.0,0.0,1.0,33,8,0.0117233055884578,0.03401017977262038
113.192562,700,96.704585,False,1.0,1.0,0.0,0.0,394,3,0.0025201173117103126,0.037912706593704985
84.652987,700,126.465871,False,0.0,0.0,0.0,0.0,0,0,0.018098500508027415,0.035219438029579754
128.258668,700,166.468999,False,1.0,1.0,0.0,0.0,429,1,0.01305491682566473,0.030115702416945472
127.899619,700,214.606939,False,0.0,0.0,0.0,0.0,0,0,0.0142186699843867,0.03289007248225933
123.276293,700,262.346509,False,1.0,1.0,0.0,0.0,177,2,0.0029641682832357574,0.036509196537207564
130.447683,700,301.044689,False,1.0,1.0,0.0,0.0,632,3,0.0011219996919804576,0.043218535813475026
8.051348,700,330.425239,False,1.0,1.0,0.0,0.0,99,3,0.0029617414081073434,0.037305171762388324
66.457887,323,347.364467,True,1.0,1.0,0.0,1.0,128,1,0.008369794097725203,0.03644299125603767
135.675114,700,391.880514,False,0.0,0.0,0.0,0.0,0,0,0.01054830795520878,0.03986606665095682
92.94232,700,422.766069,False,1.0,1.0,0.0,0.0,57,16,0.013374200387930912,0.0363674662849248
76.847021,700,465.859514,False,1.0,1.0,0.0,0.0,173,6,0.02819834522773912,0.03643891530226832
32.59101,700,488.863722,False,1.0,1.0,0.0,0.0,34,1,0.008080455479367421,0.03905271866831904
42.788128,700,534.166485,False,1.0,1.0,0.0,0.0,50,3,0.0031228951634959534,0.034296760524673
139.833076,700,566.230554,False,0.0,0.0,0.0,0.0,0,0,0.00950718302103526,0.034621000050162554
85.263553,700,624.073201,False,0.0,0.0,0.0,0.0,0,0,0.002507981581274632,0.06302959509422976
128.66536,700,724.28165,False,1.0,1.0,0.0,0.0,70,8,0.0030066864367768176,0.04015848994072327
162.649883,700,764.586379,False,0.0,0.0,0.0,0.0,0,0,0.0402541700196406,0.04377001385270847
18.349009,700,792.351296,False,0.0,0.0,0.0,0.0,0,0,0.01641717012103494,0.039537730252822756
27.319545,700,819.374917,False,0.0,0.0,0.0,0.0,0,0,0.014014429163692332,0.0366204934772285
151.559725,700,851.771337,False,1.0,1.0,0.0,0.0,46,2,0.007117905889161835,0.035434781234879496
324.561166,700,888.178192,False,0.0,0.0,0.0,0.0,0,0,0.026090476714114352,0.03960006452719209
73.066993,700,938.194229,False,1.0,1.0,0.0,0.0,78,9,0.0026340465154840453,0.03276376979492948
-25.452366,700,961.473942,False,0.0,0.0,0.0,0.0,0,0,0.008435057129219548,0.03843769683542313
123.515154,700,989.855575,False,1.0,1.0,0.0,0.0,183,5,0.010553713773088558,0.034854086308143024
29.457985,700,1046.116156,False,1.0,1.0,0.0,0.0,44,4,0.0034819634135255795,0.031790373384283165
148.059971,700,1066.318021,False,0.0,0.0,0.0,0.0,0,0,0.007979827572412113,0.03803696727866958
78.649187,700,1113.898139,False,1.0,1.0,0.0,0.0,62,6,0.0024315479253352867,0.03623478274002271
123.178137,700,1208.282471,False,1.0,1.0,0.0,0.0,86,1,0.05409413471210478,0.03863334130457891
146.898826,700,1238.159434,False,1.0,1.0,0.0,0.0,36,2,0.013479595398916855,0.03704722794451799
139.687477,700,1301.904018,False,1.0,1.0,0.0,0.0,43,11,0.0004037867250924476,0.03750148152626332
13.712594,700,1329.214554,False,0.0,0.0,0.0,0.0,0,0,0.006513881424262569,0.04066155222197454
66.628057,246,1348.891546,True,1.0,1.0,0.0,1.0,26,4,0.013904825355986916,0.03720757121566139
91.000013,700,1402.39822,False,1.0,1.0,0.0,0.0,49,1,0.0028136408578270933,0.03815382362393341
165.51751,646,1481.142516,True,1.0,1.0,0.0,1.0,38,6,0.02032502764784838,0.03397031329223084
109.922852,445,1515.090843,True,1.0,1.0,0.0,1.0,34,5,0.020412043988592976,0.03474145880482572
78.11973,700,1546.167515,False,1.0,1.0,0.0,0.0,37,1,0.005574644194993206,0.0374398126439175
76.968951,700,1607.761936,False,1.0,1.0,0.0,0.0,45,7,0.004174969258528449,0.02950016545604588
150.021507,700,1639.28202,False,1.0,1.0,0.0,0.0,143,6,0.007557848913849918,0.03328465275154839
60.926526,210,1658.434798,True,1.0,1.0,0.0,1.0,114,3,0.008545157628015332,0.0324289488216205
171.457972,700,1691.425735,False,0.0,0.0,0.0,0.0,0,0,0.008375142237248667,0.03796911710752817
54.587687,700,1762.360657,False,1.0,1.0,0.0,0.0,46,3,0.0013996010434358386,0.038282017996459076
107.727334,700,1807.055601,False,0.0,0.0,0.0,0.0,0,0,0.005972199731074768,0.044517607682825366
179.90973,700,1845.239848,False,1.0,1.0,0.0,0.0,410,2,0.005777258077315217,0.03646695842889831
165.583428,700,1881.903988,False,0.0,0.0,0.0,0.0,0,0,0.017140810418871943,0.039191965329660725
12.908159,700,1919.999864,False,1.0,1.0,0.0,0.0,34,2,0.02491144075657703,0.03375944893007524
163.947472,700,1952.349163,False,1.0,1.0,0.0,0.0,118,2,0.0120250502713104,0.03489084416663087
96.449151,351,1993.512055,True,1.0,1.0,0.0,1.0,98,2,0.015311122793841392,0.03884811609008275
113.976727,700,2016.796823,False,0.0,0.0,0.0,0.0,0,0,0.004611651411186801,0.04047754534183151
87.053565,700,2054.998631,False,1.0,1.0,0.0,0.0,131,2,0.011166950930615371,0.034669793176520886
183.734102,700,2128.391873,False,1.0,1.0,0.0,0.0,28,1,0.0012970614483567289,0.0375582455950418
175.037909,700,2160.654947,False,1.0,1.0,0.0,0.0,54,6,0.010124338805187927,0.037095599967343296
182.3274,700,2198.618246,False,1.0,1.0,0.0,0.0,118,6,0.006591914241882435,0.03004989709514937
186.379604,700,2224.434943,False,0.0,0.0,0.0,0.0,0,0,0.02220445586245612,0.03755786999165233
182.636055,700,2250.592386,False,1.0,1.0,0.0,0.0,192,6,0.03386044234493735,0.03303777639702651
551.356402,700,2318.903126,False,0.0,0.0,0.0,0.0,0,0,0.012741199040551376,0.053949999282553514
176.662342,700,2355.405036,False,1.0,1.0,0.0,0.0,60,1,0.003605735501474694,0.037644238375167685
173.955933,700,2411.729522,False,1.0,1.0,0.0,0.0,133,2,0.01473700435109071,0.03689602707158704
78.282715,700,2475.72736,False,1.0,1.0,0.0,0.0,200,3,0.016936862944713305,0.033547291203926126
205.776359,700,2516.646535,False,0.0,0.0,0.0,0.0,0,0,0.01612635754365721,0.03774798356999689
25.031799,700,2548.918128,False,0.0,0.0,0.0,0.0,0,0,0.002092176957643077,0.03980492338239742
197.702926,700,2601.819004,False,1.0,1.0,0.0,0.0,571,5,0.01328930724751809,0.027259054931799687
201.399363,700,2660.687202,False,1.0,1.0,0.0,0.0,64,5,0.010014127588344746,0.03440984501781956
27.663772,700,2705.419953,False,1.0,1.0,0.0,0.0,52,4,0.01576235875675569,0.0354057067963241
190.295228,700,2766.619962,False,1.0,1.0,0.0,0.0,56,2,0.017995061565512227,0.03988912190564747
221.328435,700,2801.245256,False,0.0,0.0,0.0,0.0,0,0,0.0017745515932825473,0.04682140998471619
213.490783,700,2843.817439,False,0.0,0.0,0.0,0.0,0,0,0.020104737626849722,0.03633233600148574
94.213774,290,2856.632266,True,1.0,1.0,0.0,1.0,163,7,0.006651255014391566,0.03680085890163275
152.733308,700,2895.834876,False,1.0,1.0,0.0,0.0,56,7,0.022029623327462278,0.03490358561620094
205.869598,700,2930.743244,False,1.0,1.0,0.0,0.0,192,6,0.010731509906733883,0.03445902829462791
210.068771,700,2976.331953,False,1.0,1.0,0.0,0.0,87,4,0.0022330545855109296,0.036533862220718194
-1.701405,700,3028.093933,False,0.0,0.0,0.0,0.0,0,0,0.00235299035777925,0.04082237220967057
147.650204,700,3055.397378,False,0.0,0.0,0.0,0.0,0,0,0.0030666226131141894,0.05126806433088203
212.2876,700,3124.377432,False,1.0,1.0,0.0,0.0,107,9,0.005623643751549778,0.03260371992089879
185.385408,700,3190.93098,False,1.0,1.0,0.0,0.0,120,2,0.004607715512558119,0.03875937983464497
178.602024,700,3232.550492,False,1.0,1.0,0.0,0.0,44,24,0.005777311623055614,0.03154483178743207
110.759667,700,3290.984926,False,0.0,0.0,0.0,0.0,0,0,0.04132004525312716,0.09410658737622672
39.757354,700,3330.956496,False,1.0,1.0,0.0,0.0,36,2,0.0026890003981284716,0.03232938889022896
219.277787,700,3408.529751,False,0.0,0.0,0.0,0.0,0,0,0.03024528755329703,0.03750468821164246
228.54655,700,3448.60544,False,0.0,0.0,0.0,0.0,0,0,0.006533540833266516,0.03878661306006152
236.707633,700,3480.804651,False,1.0,1.0,0.0,0.0,310,10,0.02275026421429871,0.03447547461860478
227.239121,700,3535.304378,False,0.0,0.0,0.0,0.0,0,0,0.006411071124922452,0.041560800820081414
