#{"t_start": 1776008995.2865295, "env_id": "None"}
r,l,t
0.0,500,71.301769
0.0,500,116.78887
0.0,500,162.600643
0.0,500,207.032571
0.0,500,283.363794
0.0,500,341.702489
0.0,500,383.995845
0.0,500,426.848098
0.0,500,480.391156
0.0,500,520.207667
0.0,500,573.050536
0.0,500,621.279936
0.0,500,690.549721
0.0,500,732.616431
0.0,500,770.363558
0.0,500,814.660685
0.0,500,857.130472
0.0,500,910.789589
0.0,500,950.388998
0.0,500,1035.233696
0.0,500,1118.167363
0.0,500,1244.744413
0.0,500,1366.322592
0.0,500,1415.91548
0.0,500,1472.963896
0.0,500,1518.241155
0.0,500,1559.438973
0.0,500,1599.954951
0.0,500,1638.031255
0.0,500,1690.666182
0.0,500,1751.357858
0.0,500,1803.266643
0.0,500,1843.101345
0.0,500,1892.13462
0.0,500,1986.223807
0.0,500,2085.089056
0.0,500,2140.932413
0.0,500,2202.94728
0.0,500,2306.815431
0.0,500,2362.598046
0.0,500,2428.297144
0.0,500,2531.960381
0.0,500,2596.989558
0.0,500,2661.704321
0.0,500,2714.48314
0.0,500,2781.653827
0.0,500,2840.766544
0.0,500,2905.5926
0.0,500,2962.870249
0.0,500,3033.1337
0.0,500,3117.657637
0.0,500,3204.485857
0.0,500,3258.832921
0.0,500,3328.275219
0.0,500,3378.051958
0.0,500,3426.515411
0.0,500,3484.187281
0.0,500,3533.289953
0.0,500,3585.323586
0.0,500,3651.791731
0.0,500,3728.682865
0.0,500,3783.976326
0.0,500,3854.664308
0.0,500,3909.866106
0.0,500,3947.905756
0.0,500,3989.739984
0.0,500,4034.465073
0.0,500,4074.25652
0.0,500,4135.672885
0.0,500,4191.227467
0.0,500,4251.557106
0.0,500,4353.731644
0.0,500,4403.584974
0.0,500,4450.805992
0.0,500,4530.890931
0.0,500,4600.183009
0.0,500,4668.289571
0.0,500,4750.016851
0.0,500,4833.357758
0.0,500,4892.262718
0.0,500,4945.529485
0.0,500,4989.042134
0.0,500,5045.742718
0.0,500,5091.813385
0.0,500,5131.503634
0.0,500,5172.159167
0.0,500,5218.670594
0.0,500,5256.063127
0.0,500,5307.092319
0.0,500,5352.739023
0.0,500,5394.336068
0.0,500,5453.981868
0.0,500,5501.030304
0.0,500,5537.787679
0.0,500,5587.615741
0.0,500,5676.859653
0.0,500,5791.518494
0.0,500,5899.846322
0.0,500,6010.795143
0.0,500,6066.165749
0.0,500,6119.436703
0.0,500,6178.258954
0.0,500,6239.848164
0.0,500,6313.472466
0.0,500,6365.963735
0.0,500,6450.699675
0.0,500,6505.130457
0.0,500,6610.961557
0.0,500,6684.371702
0.0,500,6733.71237
0.0,500,6832.30982
0.0,500,6889.875749
0.0,500,6940.123261
0.0,500,6988.370805
0.0,500,7055.464467
0.0,500,7104.98733
0.0,500,7182.209983
0.0,500,7256.051112
0.0,500,7326.451089
0.0,500,7366.86958
0.0,500,7418.517324
0.0,500,7488.663521
0.0,500,7534.977168
0.0,500,7575.990511
0.0,500,7621.994535
0.0,500,7661.38326
0.0,500,7706.786345
