#{"t_start": 1776041536.9876099, "env_id": "None"}
r,l,t
0.0,500,29.193596
0.0,500,56.355349
0.0,500,79.337427
0.0,500,105.073217
0.0,500,136.589409
0.0,500,162.893697
0.0,500,184.644092
0.0,500,205.963616
0.0,500,228.178619
0.0,500,258.178769
0.0,500,295.63794
0.0,500,319.980639
0.0,500,340.05266
0.0,500,372.318756
0.0,500,401.369482
0.0,500,422.3956
0.0,500,448.914541
0.0,500,477.328359
0.0,500,499.717024
0.0,500,532.147536
0.0,500,560.803786
0.0,500,582.488734
0.0,500,612.135749
0.0,500,642.90229
0.0,500,686.500052
0.0,500,712.383454
0.0,500,733.569834
0.0,500,763.460838
0.0,500,785.083705
0.0,500,815.109078
0.0,500,841.329546
0.0,500,862.016747
0.0,500,885.720038
0.0,500,909.788019
0.0,500,937.360532
0.0,500,959.685881
0.0,500,990.174121
0.0,500,1012.136623
0.0,500,1042.209671
0.0,500,1067.17812
0.0,500,1091.916062
0.0,500,1114.29126
0.0,500,1136.83885
0.0,500,1166.302745
0.0,500,1189.850497
0.0,500,1211.085464
0.0,500,1240.337473
0.0,500,1261.702229
0.0,500,1283.159325
0.0,500,1302.422765
0.0,500,1324.137646
0.0,500,1347.756235
0.0,500,1370.960879
0.0,500,1396.767221
0.0,500,1447.387628
0.0,500,1465.33089
0.0,500,1488.956929
0.0,500,1515.265008
0.0,500,1532.694253
0.0,500,1554.366672
0.0,500,1575.724983
0.0,500,1596.576797
0.0,500,1622.871012
0.0,500,1648.032199
0.0,500,1682.087825
0.0,500,1702.881212
0.0,500,1723.510568
0.0,500,1745.678631
0.0,500,1772.824683
0.0,500,1797.799274
0.0,500,1830.857979
0.0,500,1848.443175
0.0,500,1870.147529
0.0,500,1892.921959
0.0,500,1911.954036
0.0,500,1935.840289
0.0,500,1967.804773
0.0,500,2016.893757
0.0,500,2054.513926
0.0,500,2080.721161
0.0,500,2102.281363
0.0,500,2126.11123
0.0,500,2151.792286
0.0,500,2170.587931
0.0,500,2190.947246
0.0,500,2210.416592
0.0,500,2234.686641
0.0,500,2257.547796
0.0,500,2276.379176
0.0,500,2319.505054
0.0,500,2338.844899
0.0,500,2365.914229
0.0,500,2386.515774
0.0,500,2410.310724
0.0,500,2433.00183
0.0,500,2474.22772
0.0,500,2493.591912
0.0,500,2520.267121
0.0,500,2541.46199
0.0,500,2583.30727
0.0,500,2613.120839
0.0,500,2634.733676
0.0,500,2674.122196
0.0,500,2693.399723
0.0,500,2714.710953
0.0,500,2748.216943
0.0,500,2772.024701
0.0,500,2798.058247
0.0,500,2822.659345
0.0,500,2868.182096
0.0,500,2893.517517
0.0,500,2929.718219
0.0,500,2953.041326
0.0,500,2987.181943
0.0,500,3024.368101
0.0,500,3042.415003
0.0,500,3063.378751
0.0,500,3087.484396
0.0,500,3107.553632
0.0,500,3132.339545
0.0,500,3168.690218
0.0,500,3193.228564
0.0,500,3224.175776
0.0,500,3254.316069
0.0,500,3284.334303
0.0,500,3306.867876
0.0,500,3350.18999
0.0,500,3369.856848
0.0,500,3393.063633
0.0,500,3423.249613
0.0,500,3447.181885
0.0,500,3486.903007
0.0,500,3508.400248
0.0,500,3529.809734
0.0,500,3553.670519
0.0,500,3575.788819
0.0,500,3596.654941
0.0,500,3627.010978
0.0,500,3679.967525
0.0,500,3708.284439
0.0,500,3741.354698
0.0,500,3763.004792
0.0,500,3786.965119
0.0,500,3809.791376
0.0,500,3851.691397
0.0,500,3881.221072
0.0,500,3906.770225
0.0,500,3932.439126
0.0,500,3966.976133
0.0,500,3987.158516
0.0,500,4009.308008
0.0,500,4037.102952
0.0,500,4055.501774
0.0,500,4083.922358
0.0,500,4123.317647
0.0,500,4158.879993
0.0,500,4178.193821
0.0,500,4202.835667
0.0,500,4228.097305
0.0,500,4249.218855
0.0,500,4272.880823
0.0,500,4296.010083
0.0,500,4315.219576
0.0,500,4345.14331
0.0,500,4369.227663
0.0,500,4393.587287
0.0,500,4417.332882
0.0,500,4463.577945
0.0,500,4500.512169
0.0,500,4524.534347
0.0,500,4545.466613
0.0,500,4564.890301
0.0,500,4588.940145
0.0,500,4610.389908
0.0,500,4635.721756
0.0,500,4660.868553
0.0,500,4710.999056
0.0,500,4736.887966
0.0,500,4765.745065
0.0,500,4809.612168
0.0,500,4828.70813
0.0,500,4852.924778
0.0,500,4877.61244
0.0,500,4896.076385
0.0,500,4918.024968
0.0,500,4939.226273
0.0,500,4978.81737
0.0,500,5000.002195
0.0,500,5049.8953
0.0,500,5073.800698
0.0,500,5106.116344
0.0,500,5124.087044
0.0,500,5144.951375
0.0,500,5169.763259
0.0,500,5199.705705
0.0,500,5223.500458
0.0,500,5245.536159
0.0,500,5276.024997
0.0,500,5320.836028
0.0,500,5343.224332
0.0,500,5369.339394
0.0,500,5396.505552
0.0,500,5419.191811
0.0,500,5444.412462
0.0,500,5468.824137
0.0,500,5497.447656
0.0,500,5516.880867
0.0,500,5538.35586
0.0,500,5569.141047
0.0,500,5598.445103
0.0,500,5619.326154
0.0,500,5645.494627
0.0,500,5670.309047
0.0,500,5691.155133
0.0,500,5711.298058
0.0,500,5741.256354
0.0,500,5762.809801
0.0,500,5786.933819
0.0,500,5821.80731
0.0,500,5855.298443
0.0,500,5881.18894
0.0,500,5935.044062
0.0,500,5960.908567
0.0,500,5985.546789
0.0,500,6007.664528
0.0,500,6025.976706
0.0,500,6055.927993
0.0,500,6079.402221
0.0,500,6123.940889
0.0,500,6145.53442
0.0,500,6164.751888
0.0,500,6187.440705
0.0,500,6208.984455
0.0,500,6229.465235
0.0,500,6252.079797
0.0,500,6273.619355
0.0,500,6291.691519
0.0,500,6322.878406
0.0,500,6344.246694
0.0,500,6378.270484
0.0,500,6401.823143
0.0,500,6423.54878
0.0,500,6445.117072
0.0,500,6471.87141
0.0,500,6505.785232
0.0,500,6529.961206
0.0,500,6554.317163
0.0,500,6584.374111
0.0,500,6608.439881
0.0,500,6630.153061
0.0,500,6651.182172
0.0,500,6675.402883
0.0,500,6709.368871
0.0,500,6731.381487
0.0,500,6759.418418
0.0,500,6780.495652
0.0,500,6801.31083
0.0,500,6825.625848
0.0,500,6845.216712
0.0,500,6868.643981
0.0,500,6896.244579
0.0,500,6923.676602
0.0,500,6956.716922
0.0,500,6976.825895
0.0,500,7000.127875
0.0,500,7026.636226
0.0,500,7045.958968
0.0,500,7069.340897
0.0,500,7092.759487
0.0,500,7110.95615
0.0,500,7167.038241
0.0,500,7190.92616
0.0,500,7217.058949
0.0,500,7251.639107
0.0,500,7270.606751
0.0,500,7295.654409
0.0,500,7325.559995
0.0,500,7366.101429
0.0,500,7388.731831
0.0,500,7416.706416
0.0,500,7437.775746
0.0,500,7459.117312
0.0,500,7482.673449
0.0,500,7501.055253
0.0,500,7532.587248
0.0,500,7562.950053
0.0,500,7591.154704
0.0,500,7615.221901
0.0,500,7633.642378
0.0,500,7655.245421
0.0,500,7676.613798
0.0,500,7709.39352
0.0,500,7728.424258
0.0,500,7756.224628
0.0,500,7791.939205
0.0,500,7813.99002
0.0,500,7839.939344
0.0,500,7860.842989
0.0,500,7884.25351
0.0,500,7911.125757
0.0,500,7939.244065
0.0,500,7956.450791
0.0,500,7983.585081
0.0,500,8004.570684
0.0,500,8025.154887
0.0,500,8047.189042
0.0,500,8071.211855
0.0,500,8116.866246
0.0,500,8143.950145
0.0,500,8167.464183
0.0,500,8185.860347
0.0,500,8213.726734
0.0,500,8240.496959
0.0,500,8270.835176
0.0,500,8292.526873
0.0,500,8323.66703
0.0,500,8341.903324
0.0,500,8365.419213
0.0,500,8389.169545
0.0,500,8412.867965
0.0,500,8441.040016
0.0,500,8467.420919
0.0,500,8487.686121
0.0,500,8506.828303
0.0,500,8538.404915
0.0,500,8560.4173
0.0,500,8583.783118
0.0,500,8605.885099
0.0,500,8627.216625
0.0,500,8651.757111
0.0,500,8675.127733
0.0,500,8696.380642
0.0,500,8718.85736
0.0,500,8739.160257
0.0,500,8770.108461
0.0,500,8794.168494
0.0,500,8820.297154
0.0,500,8839.29055
0.0,500,8867.646656
0.0,500,8892.039042
0.0,500,8916.001182
0.0,500,8935.216597
0.0,500,8960.893394
0.0,500,8989.643297
0.0,500,9043.19991
0.0,500,9062.119892
0.0,500,9094.121274
0.0,500,9117.347744
0.0,500,9139.966701
0.0,500,9158.480767
0.0,500,9180.356191
0.0,500,9201.422538
0.0,500,9225.777983
0.0,500,9248.019327
0.0,500,9271.278341
0.0,500,9310.130174
0.0,500,9330.694337
0.0,500,9354.118127
0.0,500,9378.159393
0.0,500,9403.445051
0.0,500,9438.65146
0.0,500,9502.305692
0.0,500,9527.534309
0.0,500,9552.706242
0.0,500,9577.316311
0.0,500,9602.433881
0.0,500,9622.055853
0.0,500,9651.243287
0.0,500,9678.415562
0.0,500,9711.878507
0.0,500,9737.073222
0.0,500,9783.760441
0.0,500,9807.398258
0.0,500,9826.4489
0.0,500,9849.777756
0.0,500,9872.41721
0.0,500,9902.544891
0.0,500,9931.666539
0.0,500,9954.181744
0.0,500,9975.642442
0.0,500,9998.753972
0.0,500,10017.95697
0.0,500,10039.166855
0.0,500,10094.496482
0.0,500,10112.924748
0.0,500,10140.539332
0.0,500,10168.511856
0.0,500,10203.323976
0.0,500,10224.530497
0.0,500,10248.24473
0.0,500,10282.351853
0.0,500,10311.496514
0.0,500,10356.404556
0.0,500,10394.362241
0.0,500,10414.769207
0.0,500,10440.453661
0.0,500,10463.970733
0.0,500,10503.431037
0.0,500,10529.743486
0.0,500,10550.619177
0.0,500,10569.032034
