timestep,ep_rew_mean,ep_len_mean,success_rate,contact_success_rate,grasp_success_rate,grasp_lift_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,min_dist_eef_obj_mean,n_episodes
8192,-13.052774625,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039371423557377216,0.3210214037813398,8
16384,-12.8883669,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001577382753840395,0.30692126253258334,20
24576,-10.707518125,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022084628327021655,0.29423891780012157,32
32768,-9.304871681818181,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005054868094578562,0.26863338520947716,44
40960,-4.917267196428573,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007635329057829381,0.2352614373750813,56
49152,-1.7499836029411766,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023903142473492224,0.2107027808351336,68
57344,-1.131118375,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218731796995793,0.20030198446632258,80
65536,1.7688758913043479,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002182869298776464,0.18352922179599168,92
73728,4.300219679999999,700.0,0.0,0.01,0.01,0.0,0.0,4.08,0.01,0.0024087873005697092,0.1676935953505633,100
81920,9.431080710000002,700.0,0.0,0.01,0.01,0.0,0.0,4.08,0.01,0.0028215852467957125,0.13548488734047695,100
90112,14.935099169999999,700.0,0.0,0.02,0.02,0.0,0.0,4.41,0.02,0.0031397171383921742,0.11074554261312469,100
98304,21.329075050000007,700.0,0.0,0.04,0.04,0.0,0.0,7.85,0.05,0.0035291830069719343,0.08959707756283612,100
106496,28.57961779,700.0,0.0,0.06,0.06,0.0,0.0,9.61,0.07,0.004487269720866225,0.0770330929350652,100
114688,32.00306269,700.0,0.0,0.08,0.08,0.01,0.0,11.73,0.1,0.008059358706718488,0.07035764472101504,100
122880,36.19699336,700.0,0.0,0.09,0.09,0.01,0.0,12.98,0.11,0.008213931783712174,0.06285625888863625,100
131072,43.306133530000004,700.0,0.0,0.13,0.13,0.01,0.0,22.04,0.16,0.00991725523230303,0.05327052569255377,100
139264,51.20499514,700.0,0.0,0.15,0.15,0.01,0.0,22.14,0.21,0.010647299286343448,0.049652776092769454,100
147456,59.34777570999999,700.0,0.0,0.2,0.2,0.02,0.0,37.04,0.29,0.013139810882355465,0.04266454026011464,100
155648,65.34656817999999,700.0,0.0,0.25,0.25,0.02,0.0,47.28,0.35,0.013711895345567417,0.04148002959161647,100
163840,71.50844855999999,700.0,0.0,0.24,0.24,0.02,0.0,46.11,0.35,0.014525379123680545,0.03882811982452343,100
172032,77.41302871,700.0,0.0,0.25,0.25,0.02,0.0,49.3,0.38,0.014840896894381523,0.03698202853323292,100
180224,83.41991490999999,700.0,0.0,0.25,0.25,0.02,0.0,47.47,0.4,0.015956820349716586,0.03768666570620187,100
188416,92.94254560999998,700.0,0.0,0.3,0.3,0.02,0.0,72.67,0.5,0.013609120747920525,0.03544250610903904,100
196608,103.25235269000001,700.0,0.0,0.32,0.32,0.02,0.0,79.65,0.54,0.01494188364136232,0.0334411838300399,100
204800,107.78162820000003,700.0,0.0,0.32,0.32,0.03,0.0,74.45,0.53,0.019822782601951635,0.032684105472388446,100
212992,116.10268247000002,700.0,0.0,0.36,0.36,0.02,0.0,79.76,0.64,0.019916986049588914,0.031141226268829637,100
221184,121.10019868,700.0,0.0,0.37,0.37,0.02,0.0,75.23,0.73,0.02026346315854648,0.030716484507999194,100
229376,129.70938327000005,700.0,0.0,0.4,0.4,0.02,0.0,84.76,0.79,0.022525683004309193,0.02777145339189628,100
237568,135.72990070999998,700.0,0.0,0.45,0.45,0.03,0.0,87.66,0.88,0.024300438466697386,0.02634445748087192,100
245760,144.2795421,700.0,0.0,0.47,0.47,0.04,0.0,93.01,0.92,0.02666065733908888,0.02471041209103703,100
253952,151.01842372,700.0,0.0,0.5,0.5,0.04,0.0,96.38,0.99,0.028224840470313036,0.023038236125751746,100
262144,156.41174850999997,700.0,0.0,0.49,0.49,0.04,0.0,88.22,0.96,0.032540998466459796,0.022657484525351546,100
270336,167.24201427999998,700.0,0.0,0.5,0.5,0.06,0.0,81.72,1.03,0.03687012644887487,0.020575745754974107,100
278528,170.06069650999999,700.0,0.0,0.55,0.55,0.06,0.0,93.67,1.13,0.038554019712606434,0.02114997837561722,100
286720,177.77112482999996,700.0,0.0,0.55,0.55,0.07,0.0,98.32,1.08,0.03944718197169879,0.020146858905590346,100
294912,180.96077073999993,700.0,0.0,0.57,0.57,0.09,0.0,108.9,1.15,0.04236828587264056,0.02027685756482551,100
303104,185.40391465999997,700.0,0.0,0.57,0.57,0.11,0.0,106.47,1.23,0.044230802768728844,0.020144589891932095,100
311296,185.58997889999998,700.0,0.0,0.61,0.61,0.13,0.0,114.17,1.32,0.056125754283812467,0.019688874817919984,100
319488,190.22504461,700.0,0.0,0.65,0.65,0.16,0.0,127.13,1.44,0.05945800423031426,0.019002157188948213,100
327680,195.54436538,700.0,0.0,0.68,0.68,0.17,0.0,121.17,1.56,0.0637430207377273,0.018636864899058168,100
335872,195.46068103999997,700.0,0.0,0.69,0.69,0.17,0.0,128.73,1.58,0.06598958813591992,0.0182933204928435,100
344064,199.89632653999996,700.0,0.0,0.71,0.71,0.17,0.0,129.0,1.7,0.06252175880034656,0.018089791404997085,100
352256,206.72708916000002,700.0,0.0,0.71,0.71,0.18,0.0,130.85,1.78,0.06268993504730636,0.01751430698765867,100
360448,211.68673793000002,700.0,0.0,0.68,0.68,0.17,0.0,116.0,1.69,0.061918278160139485,0.01705379648287261,100
368640,216.81145061000007,700.0,0.0,0.69,0.69,0.15,0.0,111.13,1.6,0.05941984332210224,0.016576464142436895,100
376832,223.44163129,700.0,0.0,0.71,0.71,0.19,0.0,113.44,1.76,0.06911000765202503,0.015512055722268705,100
385024,230.46518228000002,700.0,0.0,0.69,0.69,0.17,0.0,116.78,1.75,0.06334755291805914,0.015856877461588034,100
393216,230.15843268999998,700.0,0.0,0.69,0.69,0.19,0.0,116.54,1.77,0.06786088366638497,0.015152820690899436,100
401408,238.52741358000003,700.0,0.0,0.67,0.67,0.19,0.0,112.62,1.7,0.06308116198688093,0.015175070658599481,100
409600,240.07012339999997,700.0,0.0,0.64,0.64,0.19,0.0,116.67,1.55,0.06388063050816364,0.015013448637957982,100
417792,238.88374616000002,700.0,0.0,0.64,0.64,0.18,0.0,119.58,1.52,0.0658709619843974,0.015230652010787655,100
425984,243.60665569,700.0,0.0,0.65,0.65,0.2,0.0,115.57,1.54,0.0697932979356697,0.014590038310911956,100
434176,241.17435447999998,700.0,0.0,0.62,0.62,0.23,0.0,112.51,1.5,0.07258087546413049,0.014669409314880871,100
442368,237.29645378,700.0,0.0,0.64,0.64,0.25,0.0,116.41,1.57,0.0723437486679811,0.015287406884235457,100
450560,241.57340294999997,700.0,0.0,0.61,0.61,0.21,0.0,109.17,1.4,0.06248747714579114,0.01511259041133828,100
458752,243.60657509,700.0,0.0,0.59,0.59,0.19,0.0,104.03,1.34,0.060741255765688125,0.015057128124432202,100
466944,246.39947685000004,700.0,0.0,0.61,0.61,0.2,0.0,110.03,1.41,0.06243341088918308,0.015233609054655142,100
475136,248.15459341999997,700.0,0.0,0.6,0.6,0.21,0.0,105.26,1.4,0.06327553773475979,0.015617619740575982,100
483328,252.16367624999995,700.0,0.0,0.6,0.6,0.23,0.0,105.63,1.46,0.06008612546587267,0.016429788373488977,100
491520,261.36653434000004,700.0,0.0,0.65,0.65,0.23,0.0,117.01,1.64,0.05916098199115116,0.016347488751660037,100
499712,267.53774416,700.0,0.0,0.63,0.63,0.24,0.0,120.07,1.63,0.05690574094850016,0.01593140267550296,100
507904,274.07833071,700.0,0.0,0.67,0.67,0.22,0.0,130.41,1.72,0.05797036858567146,0.015607836144633574,100
516096,281.93388088999995,700.0,0.0,0.67,0.67,0.22,0.0,132.18,1.8,0.06529941608497769,0.015957931617123226,100
524288,286.42098980000003,700.0,0.0,0.69,0.69,0.23,0.0,137.52,1.87,0.060902615157362054,0.016116517897332438,100
532480,297.46885155,700.0,0.0,0.72,0.72,0.25,0.0,139.75,2.11,0.05969150522760636,0.015034518103684589,100
540672,300.63008191,700.0,0.0,0.69,0.69,0.26,0.0,125.9,2.05,0.05820329809470417,0.01513348086682447,100
548864,297.75258408999997,700.0,0.0,0.68,0.68,0.23,0.0,119.2,2.09,0.05711437035086495,0.015323807412407447,100
557056,300.98542050000003,700.0,0.0,0.67,0.67,0.24,0.0,118.38,2.14,0.0618712478075743,0.014648210162971133,100
565248,303.45244492999996,700.0,0.0,0.67,0.67,0.25,0.0,106.75,2.13,0.06328330813054968,0.01434805584250993,100
573440,306.34523847,700.0,0.0,0.66,0.66,0.23,0.0,106.01,2.06,0.06263720909989734,0.014661759023876786,100
581632,316.91549412000006,700.0,0.0,0.7,0.7,0.24,0.0,109.82,2.2,0.06247741764421653,0.01393225356899142,100
